"USERID","PERSONID","STATUS","DEFSITE","TYPE","GROUPNAME"
DANNYGUILHERME,DANNYGUILHERME,INACTIVE,ODN1,TYPE 1,OOG_ALL_DRILLING
DANNYGUILHERME,DANNYGUILHERME,INACTIVE,ODN1,TYPE 1,OOG_BASE_READ_ONLY
DARIELEDACOSTA,DARIELEDACOSTA,ACTIVE,ODN2,TYPE 4,MAXEVERYONE
DARIELEDACOSTA,DARIELEDACOSTA,ACTIVE,ODN2,TYPE 4,OOG_ALL_DRILLING
DARIELEDACOSTA,DARIELEDACOSTA,ACTIVE,ODN2,TYPE 4,OOG_BASE_READ_ONLY
DARIELEDACOSTA,DARIELEDACOSTA,ACTIVE,ODN2,TYPE 4,OOG_MOCDOC_EMISSOR
DARIELEDACOSTA,DARIELEDACOSTA,ACTIVE,ODN2,TYPE 4,OOG_MOC_OPENERS
DARIUARRUDA,DARIUARRUDA,INACTIVE,HTQ,TYPE 1,MAXEVERYONE
DARIUARRUDA,DARIUARRUDA,INACTIVE,HTQ,TYPE 1,OOG_ALL_DRILLING
DARIUARRUDA,DARIUARRUDA,INACTIVE,HTQ,TYPE 1,OOG_BASE_READ_ONLY
DARIUARRUDA,DARIUARRUDA,INACTIVE,HTQ,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
DARIUSZWROBLEWSKI,DARIUSZWROBLEWSKI,ACTIVE,PGC,TYPE 1,MAXEVERYONE
DARIUSZWROBLEWSKI,DARIUSZWROBLEWSKI,ACTIVE,PGC,TYPE 1,OOG_ALL_DRILLING
DARIUSZWROBLEWSKI,DARIUSZWROBLEWSKI,ACTIVE,PGC,TYPE 1,OOG_BASE_READ_ONLY
DARIUSZWROBLEWSKI,DARIUSZWROBLEWSKI,ACTIVE,PGC,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
DARIUSZWROBLEWSKI,DARIUSZWROBLEWSKI,ACTIVE,PGC,TYPE 1,OOG_MOC_OPENERS
DARLANDOREA,DARLANDOREA,INACTIVE,N08,TYPE 1,MAXEVERYONE
DARLANDOREA,DARLANDOREA,INACTIVE,N08,TYPE 1,OOG_ALL_DRILLING
DARLANDOREA,DARLANDOREA,INACTIVE,N08,TYPE 1,OOG_BASE_READ_ONLY
DARLANDOREA,DARLANDOREA,INACTIVE,N08,TYPE 1,OOG_MOCDOC_EMISSOR
DARRENCHILDS,DARRENCHILDS,INACTIVE,ODN2,TYPE 1,MAXEVERYONE
DARRENCHILDS,DARRENCHILDS,INACTIVE,ODN2,TYPE 1,OOG_ALL_DRILLING
DARRENCHILDS,DARRENCHILDS,INACTIVE,ODN2,TYPE 1,OOG_BASE_READ_ONLY
DARRENCHILDS,DARRENCHILDS,INACTIVE,ODN2,TYPE 1,OOG_FIELD_SUPPORT
DARRENSMALLEY,DARRENSMALLEY,INACTIVE,N08,TYPE 1,MAXEVERYONE
DARRENSMALLEY,DARRENSMALLEY,INACTIVE,N08,TYPE 1,OOG_ALL_DRILLING
DARRENSMALLEY,DARRENSMALLEY,INACTIVE,N08,TYPE 1,OOG_BASE_READ_ONLY
DARRENSMALLEY,DARRENSMALLEY,INACTIVE,N08,TYPE 1,OOG_FIELD_SUPPORT
DAVIDARANTES,DAVIDARANTES,ACTIVE,N08,TYPE 1,MAXEVERYONE
DAVIDARANTES,DAVIDARANTES,ACTIVE,N08,TYPE 1,OOG_ALL_DRILLING
DAVIDARANTES,DAVIDARANTES,ACTIVE,N08,TYPE 1,OOG_ASSET_MANAGER
DAVIDARANTES,DAVIDARANTES,ACTIVE,N08,TYPE 1,OOG_MOCDOC_EMISSOR
DAVIDARANTES,DAVIDARANTES,ACTIVE,N08,TYPE 1,OOG_MOC_OPENERS
DAVIDARANTES,DAVIDARANTES,ACTIVE,N08,TYPE 1,OOG_PROJECT_ENGINEER
DAVIDARANTES,DAVIDARANTES,ACTIVE,N08,TYPE 1,OOG_RELIABILITY_TEAM
DAVIDGARCIA,DAVIDGARCIA,INACTIVE,N06,TYPE 1,MAXEVERYONE
DAVIDGARCIA,DAVIDGARCIA,INACTIVE,N06,TYPE 1,OOG_ALL_DRILLING
DAVIDGARCIA,DAVIDGARCIA,INACTIVE,N06,TYPE 1,OOG_MATERIALS_COORDINATOR
DAVIDJUNGES,DAVIDJUNGES,INACTIVE,BASE-UNP,TYPE 5,MAXEVERYONE
DAVIDJUNGES,DAVIDJUNGES,INACTIVE,BASE-UNP,TYPE 5,OOG_ALL_DRILLING
DAVIDJUNGES,DAVIDJUNGES,INACTIVE,BASE-UNP,TYPE 5,OOG_BASE_READ_ONLY
DAVIDJUNGES,DAVIDJUNGES,INACTIVE,BASE-UNP,TYPE 5,OOG_MATERIALS_COORDINATOR
DAVIDJUNGES,DAVIDJUNGES,INACTIVE,BASE-UNP,TYPE 5,OOG_MOCDOC_EMISSOR
DAVIDJUNGES,DAVIDJUNGES,INACTIVE,BASE-UNP,TYPE 5,OOG_MOC_OPENERS
DAVIDJUNGES,DAVIDJUNGES,INACTIVE,BASE-UNP,TYPE 5,TUTOR_GROUP
DAVIDSONDUTRA,DAVIDSONDUTRA,INACTIVE,ODN3,TYPE 1,MAXEVERYONE
DAVIDSONDUTRA,DAVIDSONDUTRA,INACTIVE,ODN3,TYPE 1,OOG_ALL_DRILLING
DAVIDSONDUTRA,DAVIDSONDUTRA,INACTIVE,ODN3,TYPE 1,OOG_MATERIALS_COORDINATOR_YARD
DAVIDSONDUTRA,DAVIDSONDUTRA,INACTIVE,ODN3,TYPE 1,OOG_MATERIAL_ENGINEER
DAVIPERAL,DAVIPERAL,DELETED,OP-BASE,TYPE 5,
DAVIPERALVA,DAVIPERALVA,ACTIVE,OP-BASE,TYPE 3,MAXEVERYONE
DAVIPERALVA,DAVIPERALVA,ACTIVE,OP-BASE,TYPE 3,OOG_AB_SST
DAVIPERALVA,DAVIPERALVA,ACTIVE,OP-BASE,TYPE 3,OOG_ALL_DRILLING
DAVIPERALVA,DAVIPERALVA,ACTIVE,OP-BASE,TYPE 3,OOG_BASE_READ_ONLY
DAVIPERALVA,DAVIPERALVA,ACTIVE,OP-BASE,TYPE 3,OOG_MOCDOC_EMISSOR
DAVISANTO,DAVISANTO,INACTIVE,BASE-UNP,TYPE 1,MAXEVERYONE
DAVISANTO,DAVISANTO,INACTIVE,BASE-UNP,TYPE 1,OOG_ALL_DRILLING
DAVISANTO,DAVISANTO,INACTIVE,BASE-UNP,TYPE 1,OOG_BASE_READ_ONLY
DAVISANTO,DAVISANTO,INACTIVE,BASE-UNP,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
DAYVISONSOUZA,DAYVISONSOUZA,INACTIVE,ODN1,TYPE 4,MAXDEFLTREG
DAYVISONSOUZA,DAYVISONSOUZA,INACTIVE,ODN1,TYPE 4,MAXEVERYONE
DAYVISONSOUZA,DAYVISONSOUZA,INACTIVE,ODN1,TYPE 4,OOG_ALL_DRILLING
DAYVISONSOUZA,DAYVISONSOUZA,INACTIVE,ODN1,TYPE 4,OOG_DEFSITE_DATA_RESTRICTIONS
DAYVISONSOUZA,DAYVISONSOUZA,INACTIVE,ODN1,TYPE 4,OOG_DEPARTMENT_TEAM
DCLICK,DCLICK,INACTIVE,ODN2,TYPE 1,MAXEVERYONE
DEBORAMOTTA,DEBORAMOTTA,INACTIVE,BASE-UNP,TYPE 4,MAXEVERYONE
DEBORAMOTTA,DEBORAMOTTA,INACTIVE,BASE-UNP,TYPE 4,OOG_ALL_DRILLING
DEBORAMOTTA,DEBORAMOTTA,INACTIVE,BASE-UNP,TYPE 4,OOG_BASE_READ_ONLY
DENILTONSANTOS,DENILTONSANTOS,INACTIVE,ODN1,TYPE 5,MAXDEFLTREG
DENILTONSANTOS,DENILTONSANTOS,INACTIVE,ODN1,TYPE 5,MAXEVERYONE
DENILTONSANTOS,DENILTONSANTOS,INACTIVE,ODN1,TYPE 5,OOG_ALL_DRILLING
DENYSILVA,DENYSILVA,ACTIVE,N08,TYPE 3,MAXEVERYONE
DENYSILVA,DENYSILVA,ACTIVE,N08,TYPE 3,OOG_ALL_DRILLING
DENYSILVA,DENYSILVA,ACTIVE,N08,TYPE 3,OOG_MATERIALS_COORDINATOR
DENYSILVA,DENYSILVA,ACTIVE,N08,TYPE 3,OOG_MATERIALS_COORDINATOR_YARD
DENYSILVA,DENYSILVA,ACTIVE,N08,TYPE 3,OOG_MATERIAL_ENGINEER
DENYSILVA,DENYSILVA,ACTIVE,N08,TYPE 3,OOG_MOCDOC_EMISSOR
DIANAAMORIM,DIANAAMORIM,INACTIVE,BASE-UNP,TYPE 4,MAXEVERYONE
DIANAAMORIM,DIANAAMORIM,INACTIVE,BASE-UNP,TYPE 4,OOG_TRANSPORTADOR
DIEGOAGUIAR,DIEGOAGUIAR,INACTIVE,N06,TYPE 3,MAXEVERYONE
DIEGOAGUIAR,DIEGOAGUIAR,INACTIVE,N06,TYPE 3,OOG_ALL_DRILLING
DIEGOAGUIAR,DIEGOAGUIAR,INACTIVE,N06,TYPE 3,OOG_DEFSITE_DATA_RESTRICTIONS
DIEGOAGUIAR,DIEGOAGUIAR,INACTIVE,N06,TYPE 3,OOG_MAINTENANCE_COORDINATOR
DIEGOCOUTO,DIEGOCOUTO,INACTIVE,BASE-UNP,TYPE 4,MAXEVERYONE
DIEGOCOUTO,DIEGOCOUTO,INACTIVE,BASE-UNP,TYPE 4,OOG_ALL_DRILLING
DIEGOCOUTO,DIEGOCOUTO,INACTIVE,BASE-UNP,TYPE 4,OOG_BASE_READ_ONLY
DIEGOESMITE,DIEGOESMITE,INACTIVE,OP-BASE,TYPE 3,MAXEVERYONE
DIEGOESMITE,DIEGOESMITE,INACTIVE,OP-BASE,TYPE 3,OOG_ALL_DRILLING
DIEGOESTEFANI,DIEGOESTEFANI,INACTIVE,N08,TYPE 4,MAXEVERYONE
DIEGOESTEFANI,DIEGOESTEFANI,INACTIVE,N08,TYPE 4,OOG_ALL_DRILLING
DIEGOESTEFANI,DIEGOESTEFANI,INACTIVE,N08,TYPE 4,OOG_BASE_READ_ONLY
DIEGOMORGADE,DIEGOMORGADE,INACTIVE,BASE-UNP,TYPE 4,MAXEVERYONE
DIEGOMORGADE,DIEGOMORGADE,INACTIVE,BASE-UNP,TYPE 4,OOG_TRANSPORTADOR
DIEGOMOTTA,DIEGOMOTTA,ACTIVE,ODN2,TYPE 2,MAXEVERYONE
DIEGOMOTTA,DIEGOMOTTA,ACTIVE,ODN2,TYPE 2,OOG_ALL_DRILLING
DIEGOMOTTA,DIEGOMOTTA,ACTIVE,ODN2,TYPE 2,OOG_ASSET_MANAGER
DIEGOMOTTA,DIEGOMOTTA,ACTIVE,ODN2,TYPE 2,OOG_MOCDOC_EMISSOR
DIEGOMOTTA,DIEGOMOTTA,ACTIVE,ODN2,TYPE 2,OOG_MOC_OPENERS
DIEGOMOTTA,DIEGOMOTTA,ACTIVE,ODN2,TYPE 2,OOG_PROJECT_ENGINEER
DIEGOOTAVIO,DIEGOOTAVIO,ACTIVE,HTQ,TYPE 2,MAXEVERYONE
DIEGOOTAVIO,DIEGOOTAVIO,ACTIVE,HTQ,TYPE 2,OOG_ALL_DRILLING
DIEGOOTAVIO,DIEGOOTAVIO,ACTIVE,HTQ,TYPE 2,OOG_BASE_READ_ONLY
DIEGOOTAVIO,DIEGOOTAVIO,ACTIVE,HTQ,TYPE 2,OOG_RIGMGR
DIEGOPEREIRA,DIEGOPEREIRA,INACTIVE,ODN1,TYPE 5,MAXEVERYONE
DIEGOPEREIRA,DIEGOPEREIRA,INACTIVE,ODN1,TYPE 5,OOG_ALL_DRILLING
DIEGOPEREIRA,DIEGOPEREIRA,INACTIVE,ODN1,TYPE 5,OOG_DEFSITE_DATA_RESTRICTIONS
DIEGOPEREIRA,DIEGOPEREIRA,INACTIVE,ODN1,TYPE 5,OOG_DEPARTMENT_LEADER
DIEGOPEREIRA,DIEGOPEREIRA,INACTIVE,ODN1,TYPE 5,OOG_ISOLATION_APPROVER
DIEGOPEREIRA,DIEGOPEREIRA,INACTIVE,ODN1,TYPE 5,OOG_MOC_OPENERS
DIEGORODRIGUES,DIEGORODRIGUES,INACTIVE,N06,TYPE 1,MAXEVERYONE
DIEGORODRIGUES,DIEGORODRIGUES,INACTIVE,N06,TYPE 1,OOG_ALL_DRILLING
DIEGORODRIGUES,DIEGORODRIGUES,INACTIVE,N06,TYPE 1,TUTOR_GROUP
DIMASBARROS,DIMASBARROS,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
DIMASBARROS,DIMASBARROS,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
DIMASBARROS,DIMASBARROS,INACTIVE,OP-BASE,TYPE 1,OOG_BASE_READ_ONLY
DIOGOCARVALHO,DIOGOCARVALHO,ACTIVE,BASE-UNP,TYPE 1,MAXDEFLTREG
DIOGOCARVALHO,DIOGOCARVALHO,ACTIVE,BASE-UNP,TYPE 1,MAXEVERYONE
DIOGOCARVALHO,DIOGOCARVALHO,ACTIVE,BASE-UNP,TYPE 1,OOG_ALL_DRILLING
DIOGOCARVALHO,DIOGOCARVALHO,ACTIVE,BASE-UNP,TYPE 1,OOG_ASSET_ENGINEER
DIOGOCARVALHO,DIOGOCARVALHO,ACTIVE,BASE-UNP,TYPE 1,OOG_DEPARTMENT_LEADER
DIOGOCARVALHO,DIOGOCARVALHO,ACTIVE,BASE-UNP,TYPE 1,OOG_PROJECT_ENGINEER
DIOGOOLIVEIRA,DIOGOOLIVEIRA,ACTIVE,PGC,TYPE 1,MAXDEFLTREG
DIOGOOLIVEIRA,DIOGOOLIVEIRA,ACTIVE,PGC,TYPE 1,MAXEVERYONE
DIOGOOLIVEIRA,DIOGOOLIVEIRA,ACTIVE,PGC,TYPE 1,OOG_ALL_DRILLING
DIOGOOLIVEIRA,DIOGOOLIVEIRA,ACTIVE,PGC,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
DIOGOOLIVEIRA,DIOGOOLIVEIRA,ACTIVE,PGC,TYPE 1,OOG_MOC_OPENERS
DIOGOOLIVEIRA,DIOGOOLIVEIRA,ACTIVE,PGC,TYPE 1,OOG_SUPERVISOR
DIOGOOLIVEIRA,DIOGOOLIVEIRA,ACTIVE,PGC,TYPE 1,TUTOR_GROUP
DOGONCALVES,DOGONCALVES,INACTIVE,HTQ,TYPE 5,MAXEVERYONE
DOGONCALVES,DOGONCALVES,INACTIVE,HTQ,TYPE 5,OOG_ALL_DRILLING
DOGONCALVES,DOGONCALVES,INACTIVE,HTQ,TYPE 5,OOG_BASE_READ_ONLY
DOGONCALVES,DOGONCALVES,INACTIVE,HTQ,TYPE 5,OOG_MOCDOC_EMISSOR
DOGONCALVES,DOGONCALVES,INACTIVE,HTQ,TYPE 5,OOG_MOCPEO_APROVADOR
DOGONCALVES,DOGONCALVES,INACTIVE,HTQ,TYPE 5,OOG_MOC_OPENERS
DOMINIQUEGASPAR,DOMINIQUEGASPAR,INACTIVE,OP-BASE,TYPE 4,MAXEVERYONE
DOMINIQUEGASPAR,DOMINIQUEGASPAR,INACTIVE,OP-BASE,TYPE 4,OOG_ALL_DRILLING
DOMINIQUEGASPAR,DOMINIQUEGASPAR,INACTIVE,OP-BASE,TYPE 4,OOG_REQUISITANTET
DOUGLASDIAS,DOUGLASDIAS,INACTIVE,N08,TYPE 1,MAXEVERYONE
DOUGLASDIAS,DOUGLASDIAS,INACTIVE,N08,TYPE 1,OOG_ALL_DRILLING
DOUGLASDIAS,DOUGLASDIAS,INACTIVE,N08,TYPE 1,OOG_BASE_READ_ONLY
DOUGLASFILHO,DOUGLASFILHO,INACTIVE,N08,TYPE 1,MAXEVERYONE
DOUGLASFILHO,DOUGLASFILHO,INACTIVE,N08,TYPE 1,OOG_ALL_DRILLING
DOUGLASFILHO,DOUGLASFILHO,INACTIVE,N08,TYPE 1,OOG_BASE_READ_ONLY
DOUGLASVIEIRA,DOUGLASVIEIRA,INACTIVE,HTQ,TYPE 1,MAXEVERYONE
DOUGLASVIEIRA,DOUGLASVIEIRA,INACTIVE,HTQ,TYPE 1,OOG_ALL_DRILLING
DOUGLASVIEIRA,DOUGLASVIEIRA,INACTIVE,HTQ,TYPE 1,OOG_BASE_READ_ONLY
DOUGLASVIEIRA,DOUGLASVIEIRA,INACTIVE,HTQ,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
DOWGLASAREAS,DOWGLASAREAS,ACTIVE,ODN1,TYPE 1,MAXEVERYONE
DOWGLASAREAS,DOWGLASAREAS,ACTIVE,ODN1,TYPE 1,OOG_ALL_DRILLING
DOWGLASAREAS,DOWGLASAREAS,ACTIVE,ODN1,TYPE 1,OOG_BASE_READ_ONLY
DOWGLASAREAS,DOWGLASAREAS,ACTIVE,ODN1,TYPE 1,OOG_MOCDOC_EMISSOR
DOWGLASAREAS,DOWGLASAREAS,ACTIVE,ODN1,TYPE 1,OOG_MOC_OPENERS
DOWGLASAREAS,DOWGLASAREAS,ACTIVE,ODN1,TYPE 1,OOG_PROJECT_ENGINEER
EDCARLOSCONCEIC,EDCARLOSCONCEIC,ACTIVE,PGA,TYPE 1,MAXDEFLTREG
EDCARLOSCONCEIC,EDCARLOSCONCEIC,ACTIVE,PGA,TYPE 1,MAXEVERYONE
EDCARLOSCONCEIC,EDCARLOSCONCEIC,ACTIVE,PGA,TYPE 1,OOG_ALL_DRILLING
EDCARLOSCONCEIC,EDCARLOSCONCEIC,ACTIVE,PGA,TYPE 1,OOG_DEPARTMENT_LEADER
EDCARLOSCONCEIC,EDCARLOSCONCEIC,ACTIVE,PGA,TYPE 1,OOG_ISOLATION_MANAGER
EDCARLOSCONCEIC,EDCARLOSCONCEIC,ACTIVE,PGA,TYPE 1,OOG_MOC_OPENERS
EDCARLOSCONCEIC,EDCARLOSCONCEIC,ACTIVE,PGA,TYPE 1,OOG_PTW_ISSUER
EDERREZENDE,EDERREZENDE,INACTIVE,HTQ,TYPE 1,MAXEVERYONE
EDERREZENDE,EDERREZENDE,INACTIVE,HTQ,TYPE 1,OOG_ALL_DRILLING
EDERREZENDE,EDERREZENDE,INACTIVE,HTQ,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
EDERREZENDE,EDERREZENDE,INACTIVE,HTQ,TYPE 1,OOG_DEPARTMENT_TEAM
EDERREZENDE,EDERREZENDE,INACTIVE,HTQ,TYPE 1,OOG_ISOLATION_MANAGER
EDILSONALMEIDA,EDILSONALMEIDA,INACTIVE,N08,TYPE 4,MAXDEFLTREG
EDILSONALMEIDA,EDILSONALMEIDA,INACTIVE,N08,TYPE 4,MAXEVERYONE
EDILSONALMEIDA,EDILSONALMEIDA,INACTIVE,N08,TYPE 4,OOG_ALL_DRILLING
EDILSONALMEIDA,EDILSONALMEIDA,INACTIVE,N08,TYPE 4,OOG_BASE_READ_ONLY
EDILSONVIANA,EDILSONVIANA,ACTIVE,OP-BASE,TYPE 4,MAXEVERYONE
EDILSONVIANA,EDILSONVIANA,ACTIVE,OP-BASE,TYPE 4,OCY_SST
EDILSONVIANA,EDILSONVIANA,ACTIVE,OP-BASE,TYPE 4,OOG_ALL_DRILLING
EDILSONVIANA,EDILSONVIANA,ACTIVE,OP-BASE,TYPE 4,OOG_DEPARTMENT_LEADER
EDILSONVIANA,EDILSONVIANA,ACTIVE,OP-BASE,TYPE 4,OOG_MOCDOC_EMISSOR
EDILSONVIANA,EDILSONVIANA,ACTIVE,OP-BASE,TYPE 4,OOG_PTW_ISSUER
EDMARPEREIRA,EDMARPEREIRA,INACTIVE,N09,TYPE 3,MAXEVERYONE
EDMARPEREIRA,EDMARPEREIRA,INACTIVE,N09,TYPE 3,OOG_ALL_DRILLING
EDMARPEREIRA,EDMARPEREIRA,INACTIVE,N09,TYPE 3,OOG_MATERIALS_COORDINATOR_YARD
EDMARPEREIRA,EDMARPEREIRA,INACTIVE,N09,TYPE 3,OOG_MATERIAL_ENGINEER
EDSONMACEDO,EDSONMACEDO,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
EDSONMACEDO,EDSONMACEDO,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
EDSONMACEDO,EDSONMACEDO,INACTIVE,OP-BASE,TYPE 1,OOG_BASE_READ_ONLY
EDSONMACEDO,EDSONMACEDO,INACTIVE,OP-BASE,TYPE 1,OOG_FIELD_SUPPORT
EDSONNASCIMENTO,EDSONNASCIMENTO,INACTIVE,OP-BASE,TYPE 5,MAXEVERYONE
EDSONNASCIMENTO,EDSONNASCIMENTO,INACTIVE,OP-BASE,TYPE 5,OOG_ALL_DRILLING
EDSONNASCIMENTO,EDSONNASCIMENTO,INACTIVE,OP-BASE,TYPE 5,OOG_MAINTENANCE_COORDINATOR
EDSONNASCIMENTO,EDSONNASCIMENTO,INACTIVE,OP-BASE,TYPE 5,OOG_MOCDOC_EMISSOR
EDSONRAFAEL,EDSONRAFAEL,INACTIVE,ODN2,TYPE 1,MAXEVERYONE
EDSONRAFAEL,EDSONRAFAEL,INACTIVE,ODN2,TYPE 1,OOG_ALL_DRILLING
EDSONRAFAEL,EDSONRAFAEL,INACTIVE,ODN2,TYPE 1,OOG_BASE_READ_ONLY
EDUARDOBOSCO,EDUARDOBOSCO,ACTIVE,BASE-UNP,TYPE 2,MAXADMIN
EDUARDOBOSCO,EDUARDOBOSCO,ACTIVE,BASE-UNP,TYPE 2,MAXDEFLTREG
EDUARDOBOSCO,EDUARDOBOSCO,ACTIVE,BASE-UNP,TYPE 2,MAXEVERYONE
EDUARDOBOSCO,EDUARDOBOSCO,ACTIVE,BASE-UNP,TYPE 2,MOBILE
EDUARDOBOSCO,EDUARDOBOSCO,ACTIVE,BASE-UNP,TYPE 2,OOG_ALL_DRILLING
EDUARDOFREITAS,EDUARDOFREITAS,DELETED,OP-BASE,TYPE 1,
EDUARDOGADELHA,EDUARDOGADELHA,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
EDUARDOGADELHA,EDUARDOGADELHA,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
EDUARDOGADELHA,EDUARDOGADELHA,INACTIVE,OP-BASE,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
EDUARDOGADELHA,EDUARDOGADELHA,INACTIVE,OP-BASE,TYPE 1,OOG_ISOLATION_MANAGER
EDUARDONETO,EDUARDONETO,INACTIVE,ODN2,TYPE 1,MAXEVERYONE
EDUARDONETO,EDUARDONETO,INACTIVE,ODN2,TYPE 1,OOG_ALL_DRILLING
EDUARDONETO,EDUARDONETO,INACTIVE,ODN2,TYPE 1,OOG_REPAIR_RETURN
EDUARDONUNES,EDUARDONUNES,INACTIVE,BASE-UNP,TYPE 5,MAXEVERYONE
EDUARDONUNES,EDUARDONUNES,INACTIVE,BASE-UNP,TYPE 5,OOG_ALL_DRILLING
EDUARDONUNES,EDUARDONUNES,INACTIVE,BASE-UNP,TYPE 5,OOG_DEFSITE_DATA_RESTRICTIONS
EDUARDONUNES,EDUARDONUNES,INACTIVE,BASE-UNP,TYPE 5,OOG_DEPARTMENT_LEADER
EDUARDONUNES,EDUARDONUNES,INACTIVE,BASE-UNP,TYPE 5,OOG_ISOLATION_MANAGER
EDUARDOOLIVEIRA,EDUARDOOLIVEIRA,ACTIVE,OP-BASE,TYPE 4,MAXEVERYONE
EDUARDOOLIVEIRA,EDUARDOOLIVEIRA,ACTIVE,OP-BASE,TYPE 4,OCY_SST
EDUARDOOLIVEIRA,EDUARDOOLIVEIRA,ACTIVE,OP-BASE,TYPE 4,OOG_ALL_DRILLING
EDUARDOOLIVEIRA,EDUARDOOLIVEIRA,ACTIVE,OP-BASE,TYPE 4,OOG_BASE_READ_ONLY
EDUARDOOLIVEIRA,EDUARDOOLIVEIRA,ACTIVE,OP-BASE,TYPE 4,OOG_MOCDOC_EMISSOR
EDUARDOSILVA,EDUARDOSILVA,INACTIVE,ODN3,TYPE 1,MAXEVERYONE
EDUARDOSILVA,EDUARDOSILVA,INACTIVE,ODN3,TYPE 1,OOG_ALL_DRILLING
EDUARDOSILVA,EDUARDOSILVA,INACTIVE,ODN3,TYPE 1,OOG_BASE_READ_ONLY
EDVALDOCONCEICAO,EDVALDOCONCEICAO,INACTIVE,ODN1,TYPE 1,MAXEVERYONE
EDVALDOCONCEICAO,EDVALDOCONCEICAO,INACTIVE,ODN1,TYPE 1,OOG_ALL_DRILLING
EDVALDOCONCEICAO,EDVALDOCONCEICAO,INACTIVE,ODN1,TYPE 1,OOG_BASE_READ_ONLY
EDWINVILLAGARAY,EDWINVILLAGARAY,ACTIVE,HTQ,TYPE 3,MAXEVERYONE
EDWINVILLAGARAY,EDWINVILLAGARAY,ACTIVE,HTQ,TYPE 3,OOG_ALL_DRILLING
EDWINVILLAGARAY,EDWINVILLAGARAY,ACTIVE,HTQ,TYPE 3,OOG_MAINTENANCE_COORDINATOR
EDWINVILLAGARAY,EDWINVILLAGARAY,ACTIVE,HTQ,TYPE 3,OOG_MOC_OPENERS
ELAINESILVA,ELAINESILVA,INACTIVE,OP-BASE,TYPE 1,MAXDEFLTREG
ELAINESILVA,ELAINESILVA,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
ELAINESILVA,ELAINESILVA,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
ELAINESILVA,ELAINESILVA,INACTIVE,OP-BASE,TYPE 1,OOG_MOCDOC_EMISSOR
ELCIODIAS,ELCIODIAS,INACTIVE,ODN2,TYPE 1,MAXEVERYONE
ELCIODIAS,ELCIODIAS,INACTIVE,ODN2,TYPE 1,OOG_ALL_DRILLING
ELCIODIAS,ELCIODIAS,INACTIVE,ODN2,TYPE 1,OOG_BASE_READ_ONLY
ELCIODIAS,ELCIODIAS,INACTIVE,ODN2,TYPE 1,OOG_MOCDOC_EMISSOR
ELIDANASCIMENTO,ELIDANASCIMENTO,INACTIVE,ODN2,TYPE 3,MAXEVERYONE
ELIDANASCIMENTO,ELIDANASCIMENTO,INACTIVE,ODN2,TYPE 3,OOG_ALL_DRILLING
ELIDANASCIMENTO,ELIDANASCIMENTO,INACTIVE,ODN2,TYPE 3,OOG_MOCPEO_GESTOR
ELIDANASCIMENTO,ELIDANASCIMENTO,INACTIVE,ODN2,TYPE 3,TUTOR_GROUP
ELLENSANTOS,ELLENSANTOS,INACTIVE,BASE-UNP,TYPE 1,MAXDEFLTREG
ELLENSANTOS,ELLENSANTOS,INACTIVE,BASE-UNP,TYPE 1,MAXEVERYONE
ELLENSANTOS,ELLENSANTOS,INACTIVE,BASE-UNP,TYPE 1,OOG_BASE_READ_ONLY
ELOIORLANDINI,ELOIORLANDINI,ACTIVE,N09,TYPE 1,MAXEVERYONE
ELOIORLANDINI,ELOIORLANDINI,ACTIVE,N09,TYPE 1,OOG_ALL_DRILLING
ELOIORLANDINI,ELOIORLANDINI,ACTIVE,N09,TYPE 1,OOG_ASSET_MANAGER
ELOIORLANDINI,ELOIORLANDINI,ACTIVE,N09,TYPE 1,OOG_MOCDOC_EMISSOR
ELOIORLANDINI,ELOIORLANDINI,ACTIVE,N09,TYPE 1,OOG_PROJECT_ENGINEER
ELOIORLANDINI,ELOIORLANDINI,ACTIVE,N09,TYPE 1,OOG_QUALIFIED_PROFESSIONAL
ELZEVIRBUENO,ELZEVIRBUENO,INACTIVE,N09,TYPE 1,MAXEVERYONE
ELZEVIRBUENO,ELZEVIRBUENO,INACTIVE,N09,TYPE 1,OOG_ALL_DRILLING
ELZEVIRBUENO,ELZEVIRBUENO,INACTIVE,N09,TYPE 1,OOG_DEFSITE_DATA_RESTRICTIONS
ELZEVIRBUENO,ELZEVIRBUENO,INACTIVE,N09,TYPE 1,OOG_DEPARTMENT_TEAM
