IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT GROUPNAME, APP, OPTIONNAME FROM APPLICATIONAUTH;
  MAXADMIN, IBMCONTENT, SEARCHMORE
  MAXADMIN, IBMCONTENT, SAVE
  MAXADMIN, IBMCONTENT, DUPLICATE
  MAXADMIN, IBMCONTENT, INSERT
  MAXADMIN, IBMCONTENT, SEARCHVMQR
  MAXADMIN, IBMCONTENT, SEARCHTIPS
  MAXADMIN, IBMCONTENT, READ
  MAXADMIN, IBMCONTENT, INSTALL
  MAXADMIN, IBMCONTENT, EDIT
  MAXEVERYONE, WOTRACK, FLTRLASET
  MAXADMIN, TLOAMSWCTG, READ
  MAXDEFLTREG, TLOAMSWCTG, READ
  MAXEVERYONE, TLOAMSWCTG, READ
  MAXADMIN, TLOAMSWCTG, SAVE
  MAXDEFLTREG, TLOAMSWCTG, SAVE
  MAXEVERYONE, TLOAMSWCTG, SAVE
  MAXADMIN, TLOAMSWCTG, INSERT
  MAXDEFLTREG, TLOAMSWCTG, INSERT
  MAXEVERYONE, TLOAMSWCTG, INSERT
  MAXADMIN, TLOAMSWCTG, DELETE
  MAXDEFLTREG, TLOAMSWCTG, DELETE
  MAXEVERYONE, TLOAMSWCTG, DELETE
  MAXADMIN, TLOAMSWCTG, DUPLICATE
  MAXDEFLTREG, TLOAMSWCTG, DUPLICATE
  MAXEVERYONE, TLOAMSWCTG, DUPLICATE
  MAXADMIN, TLOAMSWCTG, RUNREPORTS
  MAXDEFLTREG, TLOAMSWCTG, RUNREPORTS
  MAXEVERYONE, TLOAMSWCTG, RUNREPORTS
  MAXADMIN, TLOAMSWCTG, SEARCHBOOK
  MAXDEFLTREG, TLOAMSWCTG, SEARCHBOOK
  MAXEVERYONE, TLOAMSWCTG, SEARCHBOOK
  MAXADMIN, TLOAMSWCTG, SEARCHVMQR
  MAXDEFLTREG, TLOAMSWCTG, SEARCHVMQR
  MAXEVERYONE, TLOAMSWCTG, SEARCHVMQR
  MAXADMIN, TLOAMSWCTG, SEARCHMORE
  MAXDEFLTREG, TLOAMSWCTG, SEARCHMORE
  MAXEVERYONE, TLOAMSWCTG, SEARCHMORE
