IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT GROUPNAME, APP, OPTIONNAME FROM APPLICATIONAUTH;
  OOG_ASSET_MANAGER, PLUSGWO, COPYLNK2WO
  OOG_ASSET_MANAGER, PLUSGWO, CREATECOMM
  OOG_ASSET_MANAGER, PLUSGWO, CREATEINCT
  OOG_ASSET_MANAGER, PLUSGWO, CREATEJP
  OOG_ASSET_MANAGER, PLUSGWO, CREATEREL
  OOG_ASSET_MANAGER, PLUSGWO, CREATEREPT
  OOG_ASSET_MANAGER, PLUSGWO, CREATESREQ
  OOG_ASSET_MANAGER, PLUSGWO, CREATEWO
  OOG_ASSET_MANAGER, PLUSGWO, DELETEREPT
  OOG_ASSET_MANAGER, PLUSGWO, DUPLICATE
  OOG_ASSET_MANAGER, PLUSGWO, EDITHIST
  OOG_ASSET_MANAGER, PLUSGWO, HELPWF
  OOG_ASSET_MANAGER, PLUSGWO, HISTORYWF
  OOG_ASSET_MANAGER, PLUSGWO, MANAGEFOLD
  OOG_ASSET_MANAGER, PLUSGWO, MANAGELIB
  OOG_ASSET_MANAGER, PLUSGWO, MANDWNTIME
  OOG_ASSET_MANAGER, PLUSGWO, MANDWNUPD
  OOG_ASSET_MANAGER, PLUSGWO, MASSMOVE
  OOG_ASSET_MANAGER, PLUSGWO, METREADOLD
  OOG_ASSET_MANAGER, PLUSGWO, MODDELWL
  OOG_ASSET_MANAGER, PLUSGWO, MODIFYSLAS
  OOG_ASSET_MANAGER, PLUSGWO, NEWWRKPKG
  MAXADMIN, INTSRV, DETAILS
  MAXADMIN, INTSRV, ASCINTCNTL
  MAXADMIN, INTSRV, SEARCHBOOK
  MAXADMIN, INTSRV, CRINTCNTL
  MAXADMIN, INTSRV, CREATEKPI
  MAXADMIN, INTSRV, DUPLICATE
  MAXADMIN, INTSRV, PROPERTIES
  MAXADMIN, INTSRV, VIEWXML
  MAXADMIN, INTSRV, TXNTRK
  MAXADMIN, INTSRV, SEARCHMORE
  MAXADMIN, INTSRV, SEARCHSQRY
  MAXADMIN, INTSRV, BMXVIEWMANAGEWHERRO
  MAXADMIN, INTSRV, BMXVIEWMANAGEWHER
  MAXADMIN, INTSRV, SEARCHTIPS
  MAXADMIN, INTSRV, SEARCHVMQR
  MAXADMIN, INTSRV, SEARCHWHER
  MAXADMIN, CHRTACCT, MODACCST
  MAXADMIN, CHRTACCT, COGNOSHOME
  MAXADMIN, CHRTACCT, COMPRELACC
  MAXADMIN, CHRTACCT, DELETEREPT
  MAXADMIN, CHRTACCT, EXTLABACC
  MAXADMIN, CHRTACCT, FINANCIAL
  MAXADMIN, CHRTACCT, GLMAINT
  MAXADMIN, CHRTACCT, GLOBALROT
  MAXADMIN, CHRTACCT, RESCODES
  MAXADMIN, CHRTACCT, RUNREPORTS
  MAXADMIN, CHRTACCT, UPDATE
  MAXADMIN, CHRTACCT, VALIDOPTN
  OOG_ASSET_MANAGER, PLUSGWO, PLUSGCRDEF
  OOG_ASSET_MANAGER, PLUSGWO, PLUSGCRINV
  OOG_ASSET_MANAGER, PLUSGWO, PLUSGCRMCR
  OOG_ASSET_MANAGER, PLUSGWO, PLUSGCRMOC
  OOG_ASSET_MANAGER, PLUSGWO, PLUSGCRRSK
  OOG_ASSET_MANAGER, PLUSGWO, PUBLICREPT
  OOG_ASSET_MANAGER, PLUSGWO, RELATERECORD
  OOG_ASSET_MANAGER, PLUSGWO, REMOVESP
  OOG_ASSET_MANAGER, PLUSGWO, REMOVEWP
  OOG_ASSET_MANAGER, PLUSGWO, REPDOWN
  OOG_ASSET_MANAGER, PLUSGWO, RESCHDASSN
  OOG_ASSET_MANAGER, PLUSGWO, REVISE
  OOG_ASSET_MANAGER, PLUSGWO, ROUTEWF
  OOG_ASSET_MANAGER, PLUSGWO, RUNREPORTS
  OOG_ASSET_MANAGER, PLUSGWO, SEARCHATTR
  OOG_ASSET_MANAGER, PLUSGWO, SEARCHBOOK
  OOG_ASSET_MANAGER, PLUSGWO, SEARCHMORE
  OOG_ASSET_MANAGER, PLUSGWO, SEARCHTIPS
  OOG_ASSET_MANAGER, PLUSGWO, SELECTSH
  OOG_ASSET_MANAGER, PLUSGWO, SELECTSP
  OOG_ASSET_MANAGER, PLUSGWO, SHOWPLAN
  OOG_ASSET_MANAGER, PLUSGWO, STARTTIMER
  OOG_ASSET_MANAGER, PLUSGWO, STATUS
  OOG_ASSET_MANAGER, PLUSGWO, STOPTIMER
  OOG_ASSET_MANAGER, PLUSGWO, STOPWF
  OOG_ASSET_MANAGER, PLUSGWO, UNDOAPPR
  OOG_ASSET_MANAGER, PLUSGWO, VIEWCOSTS
  OOG_ASSET_MANAGER, PLUSGWO, VIEWPOINFO
  OOG_ASSET_MANAGER, PLUSGWO, VIEWWARNTY
  OOG_ASSET_MANAGER, PLUSGWO, VIEWWF
  OOG_ASSET_MANAGER, PLUSGWO, WO_SLAS
  OOG_ASSET_MANAGER, PLUSGWO, BOOKMARK
  OOG_ASSET_MANAGER, PLUSGWO, CLEAR
  OOG_ASSET_MANAGER, PLUSGWO, NEXT
  OOG_ASSET_MANAGER, PLUSGWO, PREVIOUS
  OOG_ASSET_MANAGER, PLUSGWO, VIEWHIST
  OOG_ASSET_MANAGER, PLUSCTMPLT, APPLYEXIST
  OOG_ASSET_MANAGER, PLUSCTMPLT, RUNREPORTS
  OOG_ASSET_MANAGER, PLUSCTMPLT, SEARCHBOOK
  OOG_ASSET_MANAGER, PLUSCTMPLT, SEARCHMORE
  OOG_ASSET_MANAGER, PLUSCTMPLT, SEARCHTIPS
  OOG_ASSET_MANAGER, PLUSCTMPLT, STATUS
  OOG_ASSET_MANAGER, PLUSCTMPLT, VIEWPRVAST
  OOG_ASSET_MANAGER, PLUSGRSK, PREVIOUS
  OOG_ASSET_MANAGER, PLUSGRSK, NEXT
  OOG_ASSET_MANAGER, PLUSGRSK, CLEAR
  OOG_ASSET_MANAGER, PLUSGRSK, BOOKMARK
  OOG_ASSET_MANAGER, PLUSGRSK, SEARCHTIPS
  OOG_ASSET_MANAGER, PLUSGRSK, PLUSGOWSHP
  OOG_ASSET_MANAGER, PLUSGRSK, RUNREPORTS
  OOG_ASSET_MANAGER, PLUSGRSK, SEARCHMORE
  OOG_ASSET_MANAGER, PLUSGRSK, MANAGELIB
  OOG_ASSET_MANAGER, PLUSGRSK, MANAGEFOLD
  OOG_ASSET_MANAGER, PLUSGRSK, CREATEREPT
  OOG_ASSET_MANAGER, PLUSGRSK, STATUS
  OOG_ASSET_MANAGER, PLUSGRSK, SAVE
  OOG_ASSET_MANAGER, PLUSGRSK, READ
  OOG_ASSET_MANAGER, PLUSGWO, APPR
  OOG_ASSET_MANAGER, SRVITEM, CLEAR
  OOG_ASSET_MANAGER, SRVITEM, BOOKMARK
  OOG_ASSET_MANAGER, SRVITEM, PREVIOUS
  OOG_ASSET_MANAGER, SRVITEM, NEXT
  OOG_ASSET_MANAGER, SRVITEM, READ
  OOG_ASSET_MANAGER, OOG_PRTRK, READ
  OOG_ASSET_MANAGER, OOG_PRTRK, BOOKMARK
  OOG_ASSET_MANAGER, OOG_PRTRK, CLEAR
  OOG_ASSET_MANAGER, OOG_PRTRK, NEXT
  OOG_ASSET_MANAGER, OOG_PRTRK, PREVIOUS
  OOG_ASSET_MANAGER, PLUSGPO, SEARCHTIPS
  OOG_ASSET_MANAGER, PLUSGPO, READ
  OOG_ASSET_MANAGER, PLUSGPO, BOOKMARK
  OOG_ASSET_MANAGER, PLUSGPO, CLEAR
  OOG_ASSET_MANAGER, PLUSGPO, NEXT
  OOG_ASSET_MANAGER, PLUSGPO, PREVIOUS
  OOG_ASSET_MANAGER, PLUSGPO, VIEWHIST
  OOG_ASSET_MANAGER, PLUSGPO, CREATEKPI
  OOG_ASSET_MANAGER, PLUSGPO, CREATEREPT
  OOG_ASSET_MANAGER, PLUSGPO, PUBLICREPT
  OOG_ASSET_MANAGER, PLUSGPO, SEARCHMORE
  OOG_ASSET_MANAGER, PLUSGPO, RUNREPORTS
  OOG_ASSET_MANAGER, PLUSGPO, VIEWRELREC
  OOG_ASSET_MANAGER, OOG_TECACC, ADDSYS
  OOG_ASSET_MANAGER, CONTPURCH, READ
  OOG_ASSET_MANAGER, CONTPURCH, VIEWHIST
  OOG_ASSET_MANAGER, CONTPURCH, BOOKMARK
  OOG_ASSET_MANAGER, CONTPURCH, NEXT
  OOG_ASSET_MANAGER, CONTPURCH, PREVIOUS
  OOG_ASSET_MANAGER, CONTPURCH, CLEAR
  OOG_ASSET_MANAGER, INVENTOR, READ
  OOG_ASSET_MANAGER, INVENTOR, CREATEREPT
  OOG_ASSET_MANAGER, INVENTOR, PUBLICREPT
  OOG_ASSET_MANAGER, INVENTOR, RUNREPORTS
  OOG_ASSET_MANAGER, INVENTOR, INVTRANS
  OOG_ASSET_MANAGER, INVENTOR, NEXT
  OOG_ASSET_MANAGER, INVENTOR, ITEMAVAIL
  OOG_ASSET_MANAGER, INVENTOR, PREVIOUS
  OOG_ASSET_MANAGER, INVENTOR, CLEAR
  OOG_ASSET_MANAGER, INVENTOR, BOOKMARK
  OOG_ASSET_MANAGER, PLUSGCFW, DELETE
  OOG_ASSET_MANAGER, PLUSGCFW, INSERT
  OOG_ASSET_MANAGER, PLUSGCFW, READ
  OOG_ASSET_MANAGER, PLUSGCFW, SAVE
  OOG_ASSET_MANAGER, PLUSGCFW, ASSOCFOLD
  OOG_ASSET_MANAGER, PLUSGCFW, SEARCHBOOK
  OOG_ASSET_MANAGER, PLUSGCFW, STATUS
  OOG_ASSET_MANAGER, PLUSGCFW, CREATEREPT
  OOG_ASSET_MANAGER, PLUSGCFW, DELETEREPT
  OOG_ASSET_MANAGER, PLUSGCFW, DUPLICATE
  OOG_ASSET_MANAGER, PLUSGCFW, PUBLICREPT
  MAXADMIN, PLUSGORG, ASSET
  MAXADMIN, PLUSGORG, SEARCHBOOK
  MAXADMIN, PLUSGORG, COGNOSHOME
  MAXADMIN, PLUSGORG, CONTRACT
  MAXADMIN, PLUSGORG, PLUSGPCT
  MAXADMIN, PLUSGORG, CREATEKPI
  MAXADMIN, PLUSGORG, DELETEREPT
  MAXADMIN, PLUSGORG, EDITRULES
  MAXADMIN, PLUSGORG, GLOBALTK
  MAXADMIN, PLUSGORG, PLUSGHSTPR
  MAXADMIN, PLUSGORG, PLUSGIMP
  MAXADMIN, PLUSGORG, PLUSGEDRUL
  MAXADMIN, PLUSGORG, COSTS
  MAXADMIN, PLUSGORG, DEFAULTS
  MAXADMIN, PLUSGORG, INVOICE
  MAXADMIN, PLUSGORG, LABORORG
  MAXADMIN, PLUSGORG, PLUSGMOC
  MAXADMIN, PLUSGORG, PLUSGMOCED
  MAXADMIN, PLUSGORG, SEARCHMORE
  MAXADMIN, PLUSGORG, ORGLEVEL
  MAXADMIN, PLUSGORG, OTHERS
  MAXADMIN, PLUSGORG, OWNERASGN
  MAXADMIN, PLUSGORG, PM
  MAXADMIN, PLUSGORG, LABOR
  MAXADMIN, PLUSGORG, PO
  MAXADMIN, PLUSGORG, PLUSGQUAVE
  MAXADMIN, PLUSGORG, REORDER
  MAXADMIN, PLUSGORG, RUNREPORTS
  MAXADMIN, PLUSGORG, SLA
  MAXADMIN, PLUSGORG, SAFETY
  MAXADMIN, PLUSGORG, SEARCHSQRY
  MAXADMIN, PLUSGORG, SETLEVEL
  MAXADMIN, PLUSGORG, BMXVIEWMANAGEWHERRO
  MAXADMIN, PLUSGORG, BMXVIEWMANAGEWHER
  MAXADMIN, PLUSGORG, SITELEVEL
  MAXADMIN, PLUSGORG, TASKIDS
  MAXADMIN, PLUSGORG, SYSLEVEL
  MAXADMIN, PLUSGORG, SYSTEM
  MAXADMIN, PLUSGORG, TAXDFLT
  MAXADMIN, PLUSGORG, TRANSFER
  MAXADMIN, PLUSGORG, PLUSGADDAS
  MAXADMIN, PLUSGORG, PLUSGADDFC
  MAXADMIN, PLUSGORG, SEARCHTIPS
  MAXADMIN, PLUSGORG, SEARCHVMQR
  MAXADMIN, PLUSGORG, SEARCHWHER
  MAXADMIN, PLUSGORG, PLUSGEXATX
  MAXADMIN, PLUSGORG, PLUSGMXOTH
  MAXADMIN, PLUSGORG, WORKTYPE
  MAXADMIN, PLUSGORG, WORKFLOW
  OOG_ASSET_MANAGER, PLUSGCFW, MANAGEFOLD
  OOG_ASSET_MANAGER, CHANGEPSWD, SAVE
  OOG_ASSET_MANAGER, STARTCNTR, READ
  OOG_ASSET_MANAGER, STARTCNTR, UPDATETEMP
  OOG_ASSET_MANAGER, STARTCNTR, DEFAULT
  OOG_ASSET_MANAGER, STARTCNTR, DELETEREPT
  OOG_ASSET_MANAGER, STARTCNTR, PASSWORD
  OOG_ASSET_MANAGER, STARTCNTR, PERSONAL
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, NEXT
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, CLEAR
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, VIEWTRANS
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, VIEWSTATUS
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, SEARCHTIPS
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, RUNREPORTS
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, SEARCHMORE
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, PUBLICREPT
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, CREATEREPT
  OOG_MAINTENANCE_COORDINATOR, INVUSAGE, READ
  OOG_MAINTENANCE_COORDINATOR, CRAFT, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, CRAFT, NEXT
  OOG_MAINTENANCE_COORDINATOR, CRAFT, CLEAR
  OOG_MAINTENANCE_COORDINATOR, BBOARD, DELETE
  OOG_MAINTENANCE_COORDINATOR, BBOARD, INSERT
  OOG_MAINTENANCE_COORDINATOR, BBOARD, READ
  OOG_MAINTENANCE_COORDINATOR, BBOARD, SAVE
  OOG_MAINTENANCE_COORDINATOR, BBOARD, SEARCHBOOK
  OOG_MAINTENANCE_COORDINATOR, BBOARD, STATUS
  OOG_MAINTENANCE_COORDINATOR, BBOARD, CREATECOMM
  OOG_MAINTENANCE_COORDINATOR, BBOARD, CREATEKPI
  OOG_MAINTENANCE_COORDINATOR, BBOARD, DUPLICATE
  OOG_MAINTENANCE_COORDINATOR, BBOARD, SEARCHMORE
  OOG_MAINTENANCE_COORDINATOR, BBOARD, VIEWHIST
  OOG_MAINTENANCE_COORDINATOR, BBOARD, SEARCHTIPS
  OOG_MAINTENANCE_COORDINATOR, BBOARD, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, BBOARD, CLEAR
  OOG_MAINTENANCE_COORDINATOR, BBOARD, NEXT
  OOG_MAINTENANCE_COORDINATOR, BBOARD, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, SEARCHMORE
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, SAVE
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, MOVEASSET
  OOG_MAINTENANCE_COORDINATOR, CRAFT, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, CRAFT, SEARCHTIPS
  OOG_MAINTENANCE_COORDINATOR, CRAFT, RUNREPORTS
  OOG_MAINTENANCE_COORDINATOR, CRAFT, SEARCHMORE
  OOG_MAINTENANCE_COORDINATOR, CRAFT, PUBLICREPT
  OOG_MAINTENANCE_COORDINATOR, CRAFT, CREATEREPT
  OOG_MAINTENANCE_COORDINATOR, CRAFT, READ
  OOG_MAINTENANCE_COORDINATOR, OOG_EVCODE, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, OOG_EVCODE, NEXT
  OOG_MAINTENANCE_COORDINATOR, OOG_EVCODE, CLEAR
  OOG_MAINTENANCE_COORDINATOR, OOG_EVCODE, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, OOG_EVCODE, SEARCHTIPS
  OOG_MAINTENANCE_COORDINATOR, OOG_EVCODE, RUNREPORTS
  OOG_MAINTENANCE_COORDINATOR, OOG_EVCODE, SEARCHMORE
  OOG_MAINTENANCE_COORDINATOR, OOG_EVCODE, PUBLICREPT
  OOG_MAINTENANCE_COORDINATOR, OOG_EVCODE, CREATEREPT
  OOG_MAINTENANCE_COORDINATOR, OOG_EVCODE, READ
  OOG_MAINTENANCE_COORDINATOR, PLUSGCFW, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, PLUSGCFW, NEXT
  OOG_MAINTENANCE_COORDINATOR, PLUSGCFW, CLEAR
  OOG_MAINTENANCE_COORDINATOR, PLUSGCFW, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, PLUSGCFW, SEARCHTIPS
  OOG_MAINTENANCE_COORDINATOR, PLUSGCFW, RUNREPORTS
  OOG_MAINTENANCE_COORDINATOR, PLUSGCFW, SEARCHMORE
  OOG_MAINTENANCE_COORDINATOR, PLUSGCFW, PUBLICREPT
  OOG_MAINTENANCE_COORDINATOR, PLUSGCFW, CREATEREPT
  OOG_MAINTENANCE_COORDINATOR, PLUSGCFW, READ
  OOG_MAINTENANCE_COORDINATOR, PLUSGRSK, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, PLUSGRSK, NEXT
  OOG_MAINTENANCE_COORDINATOR, PLUSGRSK, CLEAR
  OOG_MAINTENANCE_COORDINATOR, PLUSGRSK, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, PLUSGRSK, RUNREPORTS
  OOG_MAINTENANCE_COORDINATOR, PLUSGRSK, SEARCHMORE
  OOG_MAINTENANCE_COORDINATOR, PLUSGRSK, PUBLICREPT
  OOG_MAINTENANCE_COORDINATOR, PLUSGRSK, CREATEREPT
  OOG_MAINTENANCE_COORDINATOR, PLUSGRSK, READ
  OOG_MAINTENANCE_COORDINATOR, PLUSGWO, APPR
  OOG_MAINTENANCE_COORDINATOR, SRVITEM, CLEAR
  OOG_MAINTENANCE_COORDINATOR, SRVITEM, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, SRVITEM, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, SRVITEM, NEXT
  OOG_MAINTENANCE_COORDINATOR, SRVITEM, READ
  OOG_MAINTENANCE_COORDINATOR, OOG_PRTRK, READ
  OOG_MAINTENANCE_COORDINATOR, OOG_PRTRK, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, OOG_PRTRK, CLEAR
  OOG_MAINTENANCE_COORDINATOR, OOG_PRTRK, NEXT
  OOG_MAINTENANCE_COORDINATOR, OOG_PRTRK, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, COMPANY, READ
  OOG_MAINTENANCE_COORDINATOR, COMPANY, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, COMPANY, CLEAR
  OOG_MAINTENANCE_COORDINATOR, COMPANY, NEXT
  OOG_MAINTENANCE_COORDINATOR, COMPANY, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, SEARCHTIPS
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, VIEWTKT
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, VIEWWOPM
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, DRILLDOWN
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, ASMOVEHIST
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, NEXT
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, CLEAR
  OOG_DEPARTMENT_LEADER, SRVITEM, SEARCHMORE
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, READ
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, SEARCHBOOK
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, CLEARREFO
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, CREATEKPI
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, CREATEREPT
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, DELETEFO
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, DELETEREPT
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, PUBLICREPT
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, GENERATEFO
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, GENERATEWO
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, SEARCHMORE
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, RUNREPORTS
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, SEARCHSQRY
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, PLUSGVFDH
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, SEARCHTIPS
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, SEARCHWHER
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, VIEWSEQ
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, NEXT
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, PLUSGPM, CLEAR
  OOG_MAINTENANCE_COORDINATOR, MASTERPM, READ
  OOG_MAINTENANCE_COORDINATOR, MASTERPM, SEARCHBOOK
  OOG_MAINTENANCE_COORDINATOR, MASTERPM, CREATEKPI
  OOG_MAINTENANCE_COORDINATOR, MASTERPM, SEARCHMORE
  OOG_MAINTENANCE_COORDINATOR, MASTERPM, SEARCHSQRY
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, READ
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, CREATEKPI
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, CREATEREPT
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, PUBLICREPT
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, RUNREPORTS
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, VIEWRELREC
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, REVHIST
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, SEARCHTIPS
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, CLEAR
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, NEXT
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, PLUSGPO, VIEWHIST
  OOG_MAINTENANCE_COORDINATOR, PLUSGPR, STOPWF
  OOG_MAINTENANCE_COORDINATOR, PLUSGPR, HISTORYWF
  OOG_MAINTENANCE_COORDINATOR, PLUSGPR, ASSIGNWF
  OOG_MAINTENANCE_COORDINATOR, PLUSGPR, VIEWWF
  OOG_MAINTENANCE_COORDINATOR, PLUSGPR, HELPWF
  OOG_MAINTENANCE_COORDINATOR, PLUSGITEM, READ
  OOG_MAINTENANCE_COORDINATOR, PLUSGITEM, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, PLUSGITEM, CLEAR
  OOG_MAINTENANCE_COORDINATOR, PLUSGITEM, NEXT
  OOG_MAINTENANCE_COORDINATOR, PLUSGITEM, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, PLUSGASS, OOG_PROTECT
  OOG_MAINTENANCE_COORDINATOR, CONTPURCH, READ
  OOG_MAINTENANCE_COORDINATOR, CONTPURCH, VIEWHIST
  OOG_MAINTENANCE_COORDINATOR, CONTPURCH, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, CONTPURCH, NEXT
  OOG_MAINTENANCE_COORDINATOR, RPTOUTPUT, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, RPTOUTPUT, NEXT
  OOG_MAINTENANCE_COORDINATOR, RPTOUTPUT, CLEAR
  OOG_MAINTENANCE_COORDINATOR, RPTOUTPUT, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, PLUSGROU, READ
  OOG_MAINTENANCE_COORDINATOR, PLUSGROU, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, PLUSGROU, NEXT
  OOG_MAINTENANCE_COORDINATOR, PLUSGROU, CLEAR
  OOG_MAINTENANCE_COORDINATOR, PLUSGROU, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, OOG_DEPART, READ
  OOG_MAINTENANCE_COORDINATOR, OOG_DEPART, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, OOG_DEPART, NEXT
  OOG_MAINTENANCE_COORDINATOR, OOG_DEPART, CLEAR
  OOG_MAINTENANCE_COORDINATOR, OOG_DEPART, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, METERGRP, READ
  OOG_MAINTENANCE_COORDINATOR, METERGRP, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, METERGRP, NEXT
  OOG_MAINTENANCE_COORDINATOR, METERGRP, CLEAR
  OOG_MAINTENANCE_COORDINATOR, METERGRP, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, METER, READ
  OOG_MAINTENANCE_COORDINATOR, METER, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, METER, NEXT
  OOG_MAINTENANCE_COORDINATOR, METER, CLEAR
  OOG_MAINTENANCE_COORDINATOR, METER, BOOKMARK
  OOG_MAINTENANCE_COORDINATOR, FAILURE, READ
  OOG_MAINTENANCE_COORDINATOR, FAILURE, PREVIOUS
  OOG_MAINTENANCE_COORDINATOR, FAILURE, NEXT
  OOG_ASSIST_RIGMGR, SRVITEM, CLEAR
  OOG_ASSIST_RIGMGR, SRVITEM, BOOKMARK
  OOG_ASSIST_RIGMGR, SRVITEM, PREVIOUS
  OOG_ASSIST_RIGMGR, SRVITEM, NEXT
  OOG_ASSIST_RIGMGR, SRVITEM, READ
  OOG_ASSIST_RIGMGR, PLUSGWO, READ
  OOG_ASSIST_RIGMGR, PLUSGWO, CREATEREPT
  OOG_ASSIST_RIGMGR, PLUSGWO, RUNREPORTS
  OOG_ASSIST_RIGMGR, PLUSGWO, BOOKMARK
  OOG_ASSIST_RIGMGR, PLUSGWO, CLEAR
  OOG_ASSIST_RIGMGR, PLUSGWO, NEXT
  OOG_ASSIST_RIGMGR, PLUSGWO, PREVIOUS
  OOG_ASSIST_RIGMGR, PLUSGWO, VIEWHIST
  OOG_ASSIST_RIGMGR, OOG_PRTRK, READ
  OOG_ASSIST_RIGMGR, OOG_PRTRK, BOOKMARK
  OOG_ASSIST_RIGMGR, OOG_PRTRK, CLEAR
  OOG_ASSIST_RIGMGR, OOG_PRTRK, NEXT
  OOG_ASSIST_RIGMGR, OOG_PRTRK, PREVIOUS
  OOG_ASSIST_RIGMGR, OOG_CMISS, READ
  OOG_ASSIST_RIGMGR, OOG_CMRCV, READ
  OOG_ASSIST_RIGMGR, OOG_CMISS, CREATEREPT
  OOG_ASSIST_RIGMGR, OOG_CMISS, RUNREPORTS
  OOG_ASSIST_RIGMGR, OOG_CMISS, BOOKMARK
  OOG_ASSIST_RIGMGR, OOG_CMISS, CLEAR
  OOG_ASSIST_RIGMGR, OOG_CMISS, NEXT
  OOG_ASSIST_RIGMGR, OOG_CMISS, PREVIOUS
  OOG_ASSIST_RIGMGR, OOG_CMRCV, BOOKMARK
  OOG_ASSIST_RIGMGR, OOG_CMRCV, CLEAR
