IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT LICENSENUM, APPNAME, ACCESSLEVEL, MODULE, MAXPRODID FROM MAXLICAPPS;
  O&G_AUTHORIZED, SECURGROUP, FULLACCESS, SECURITY, MAXIMO
  O&G_AUTHORIZED, SR, FULLACCESS, SD, MAXIMO
  O&G_AUTHORIZED, SETS, FULLACCESS, SETUP, MAXIMO
  O&G_AUTHORIZED, STARTCNTR, FULLACCESS, -, MAXIMO
  O&G_AUTHORIZED, PROPMAINT, FULLACCESS, UTIL, MAXIMO
  O&G_AUTHORIZED, SELFREG, FULLACCESS, -, MAXIMO
  O&G_AUTHORIZED, USER, FULLACCESS, SECURITY, MAXIMO
  O&G_AUTHORIZED, WORKVIEW, FULLACCESS, SETUP, MAXIMO
  O&G_AUTHORIZED, WFADMIN, FULLACCESS, UTIL, MAXIMO
  O&G_AUTHORIZED, WFDESIGN, FULLACCESS, UTIL, MAXIMO
  O&G_AUTHORIZED, SRVAD, FULLACCESS, SETUP, MAXIMO
  O&G_AUTHORIZED, MPMAN, FULLACCESS, SETUP, MAXIMO
  O&G_AUTHORIZED, TECHTABLET, FULLACCESS, WO, MAXIMO
  O&G_AUTHORIZED, TECHPHONE, FULLACCESS, WO, MAXIMO
  O&G_AUTHORIZED, TECHLITE, FULLACCESS, WO, MAXIMO
  O&G_AUTHORIZED, SCHSUPER, FULLACCESS, WO, MAXIMO
  O&G_AUTHORIZED, OSLCPROV, FULLACCESS, INT, MAXIMO
  O&G_AUTHORIZED, OSLCRES, FULLACCESS, INT, MAXIMO
  OCY_EXPRESSCUR, CREATESR, FULLACCESS, SSDR, MAXIMO
  OCY_EXPRESSCUR, ENDPOINT, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, INTSRV, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, EXTSYSTEM, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, FAILURE, READONLY, ASSET, MAXIMO
  OCY_EXPRESSCUR, HAZARDS, READONLY, PLANS, MAXIMO
  OCY_EXPRESSCUR, IM, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, INVENTOR, READSAVE, INVENTOR, MAXIMO
  OCY_EXPRESSCUR, INVUSAGE, READSAVE, INVENTOR, MAXIMO
  OCY_EXPRESSCUR, INVOKE, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, INVOICE, READSAVE, PURCHASE, MAXIMO
  OCY_EXPRESSCUR, ITEM, READSAVE, INVENTOR, MAXIMO
  OCY_EXPRESSCUR, JOBPLAN, READSAVE, PLANS, MAXIMO
  OCY_EXPRESSCUR, LABOR, READSAVE, SETUP, MAXIMO
  OCY_EXPRESSCUR, CONTLABOR, READSAVE, CONTRACT, MAXIMO
  OCY_EXPRESSCUR, LABREP, FULLACCESS, WO, MAXIMO
  OCY_EXPRESSCUR, LAUNCH, READONLY, INT, MAXIMO
  OCY_EXPRESSCUR, CONTLEASE, READSAVE, CONTRACT, MAXIMO
  OCY_EXPRESSCUR, LOCATION, READSAVE, ASSET, MAXIMO
