IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT NAME, PARENT, CHILD, WHERECLAUSE, CARDINALITY, DBJOINREQUIRED, REMARKS, MAXRELATIONSHIPID FROM MAXRELATIONSHIP;
  PLUSGBENEFIT, PLUSGINCEVENT, PLUSGBENEFIT, plusgbenefitid = :plusgbenefitid, -, -, Relationship to retrieve all PLUSGBENEFIT associated with the incident event., 100429
  PLUSGINCEVENT, PLUSGBENEFIT, PLUSGINCEVENT, plusgbenefitid = :plusgbenefitid, -, -, Relationship to retrieve all incident event associated with the PLUSGBENEFIT., 100430
  MULTIASSETLOCCI, PLUSGINCEVENT, MULTIASSETLOCCI, recordkey=:ticketid and recordclass=:class and plusgrecordkey2=:inceventid and isprimary=0, -, -, all asset/loc/CI records for the incident event, except the primary one., 100431
  LINEARRELATED, PLUSGINCEVENT, MULTIASSETLOCCI, recordkey=:ticketid and recordclass=:class and plusgrecordkey2=:inceventid and isprimary=1, -, -, A copy of TicketPrimaryAsset created especially for the LinearDetailsRelated include section in Library.xml.  It will return the primary AssetLocCI record for the Incident Event : one or zero records., 100432
  RELATEDRECINCEVT, RELATEDRECORD, PLUSGINCEVENT, ticketid=:relatedreckey and class=:relatedrecclass and inceventid=:plusgrelatedreckey2, -, -, Gets incident event from relatedrecord., 100433
  RELATEDRECINCEVT4SEL, RELATEDRECORD, PLUSGINCEVENT, ticketid=:relatedreckey and class=:relatedrecclass, -, -, Gets available incident events from relatedrecord., 100434
  RELATEDRECINCEVT4SEL2, PLUSGRELATEDREC, PLUSGINCEVENT, ticketid=:relatedreckey and class=:relatedrecclass, -, -, Gets available incident events from plusgrelatedrec., 100435
  RELATEDRECINCEVT, PLUSGRELATEDREC, PLUSGINCEVENT, ticketid=:relatedreckey and class=:relatedrecclass and inceventid=:relatedreckey2, -, -, Gets incident event from plusgrelatedrec., 100436
  COMMLOG, PLUSGINCEVENT, COMMLOG, (ownerid=:ticketuid and plusgsubownerid=:plusginceventid) and (ownertable in (select value from synonymdomain where domainid='TKCLASS' and maxvalue='INCIDENT') or ownertable ='INCIDENT'), -, -, Relationship to get communication logs for a incident event., 100437
  PLUSGOWNERHISTORY, PLUSGINCEVENT, PLUSGOWNERHISTORY, recordid = :plusginceventid and class = 'PLUSGINCEVENT', -, -, Retrieves all Owner History., 100438
  PLUSGLOCKDETAIL, PLUSGMASTERLOCKBOX, PLUSGLOCKDETAIL, locknum = :locknum and siteid =:siteid and orgid =:orgid, -, -, Relationship from PLUSGMASTERLOCKBOX to PLUSGLOCKDETAIL., 100439
  PLUSGMASTERLOCKBOX, PLUSGLOCKDETAIL, PLUSGMASTERLOCKBOX, locknum = :locknum and siteid =:siteid and orgid =:orgid, -, -, Relationship from PLUSGMASTERLOCKBOX to PLUSGLOCKDETAIL., 100440
  PLUSGLOCKBOXSTATUS, PLUSGMASTERLOCKBOX, PLUSGLOCKBOXSTATUS, locknum = :locknum and siteid =:siteid and orgid =:orgid, -, -, Relationship to find all incident event status., 100441
  BOOKMARK, PLUSGMASTERLOCKBOX, BOOKMARK, app = 'PLUSGMASTERLOCKBOX' and keyvalue = :plusgmasterlockboxid, -, -, Relationship to the bookmark records, used to find the bookmark records for a given lock boxs., 100442
  PLUSGLOCATIONS, PLUSGMASTERLOCKBOX, LOCATIONS, locationsid = :locationsid, -, -, Relationship to retrieve this location's information., 100443
  PLUSGMASTERLOCKBOX, LOCATIONS, PLUSGMASTERLOCKBOX, locationsid = :locationsid, -, -, Relationship to retrieve this location's information., 100444
  PLUSGLOCKBOXCHSTATUS, PLUSGMASTERLOCKBOX, PLUSGLOCKBOXCHSTATUS, -, -, -, Relationship to the non-persistent PlusGLogBookChStatus mbo. The resulting set will contain zero or more objects, 100445
  PLUSGMASTERLOCKBOX, PERSON, PLUSGMASTERLOCKBOX, owner = :personid, -, -, Relationship to retrieve this lock box information., 100446
  PLUSGMASTERLOCKBOX, PERSONGROUP, PLUSGMASTERLOCKBOX, ownergroup = :persongroup, -, -, Relationship to retrieve lock box information., 100447
  PLUSGLOCKDETAILINUSE, PLUSGLOCKDETAIL, PLUSGLOCKDETAILINUSE, locknum = :locknum and refernum=:refernum and siteid=:siteid and orgid=:orgid, -, -, Relationship to retrieve detail usage history., 100448
  PLUSGPERMITWORK, PLUSGLOCKDETAILINUSE, PLUSGPERMITWORK, plusgpermitworkid = :plusgpermitworkid, -, -, Relationship to permit work information., 100449
  PLUSGLOCKINUSE, PLUSGMASTERLOCKBOX, PLUSGLOCKDETAILINUSE, locknum = :locknum and (refernum='' or refernum is null) and siteid=:siteid and orgid=:orgid, -, -, Relationship to retrieve lock box usage history., 100450
  DOCLINKS, PLUSGMASTERLOCKBOX, DOCLINKS, ownertable = 'PLUSGMASTERLOCKBOX' and ownerid = :plusgmasterlockboxid, -, -, Relationship to the Doclinks table. The resultset will contain zero or more objects., 100451
  PLUSGLOCKHASUSEHIS, PLUSGMASTERLOCKBOX, PLUSGLOCKDETAILINUSE, locknum = :locknum and siteid=:siteid and orgid=:orgid, -, -, Relationship to retrieve lock box usage history., 100452
  PLUSGPERSONS, PLUSGMASTERLOCKBOX, PERSONGROUPVIEW, 1=1, -, -, Retrieves all persons on PERSONGROUPVIEW., 100453
  PLUSGOWNERHISTORY, PLUSGMASTERLOCKBOX, PLUSGOWNERHISTORY, recordid = :plusgmasterlockboxid and class = 'MASTERLOCKBOX', -, -, Retrieves all Owner History., 100454
  PLUSGVIEWBYLOC, PLUSGMASTERLOCKBOX, PLUSGVIEWBYLOC, -, -, -, for View Locks Availability by Location dialog, 100455
  PLUSGMASTERLOCKBOX, PLUSGVIEWBYLOC, PLUSGMASTERLOCKBOX, location = :location and siteid =:siteid and orgid =:orgid, -, -, for View Locks Availability by Location dialog, 100456
  PLUSGLOCATIONS, PLUSGVIEWBYLOC, LOCATIONS, locationsid = :locationsid, -, -, Relationship to retrieve this location's information., 100457
  PLUSGMASTERLOCKBOX, PLUSGPERMITWORK, PLUSGMASTERLOCKBOX, locknum=:masterlockbox and siteid=:siteid and orgid=:orgid, -, -, Relationship for PLUSGMASTERLOCKBOX, 100458
  PLUSGPERMITWORK, PLUSGMASTERLOCKBOX, PLUSGPERMITWORK, masterlockbox=:locknum and siteid=:siteid and orgid=:orgid, -, -, Relationship for PLUSGPERMITWORK, 100459
  PLUSGLOCKDETAIL, PLUSGPERMITWORK, PLUSGLOCKDETAIL, locknum=:masterlockbox and refernum=:masterlockboxkey and siteid=:siteid and orgid=:orgid, -, -, Relationship for PLUSGLOCKDETAIL, 100460
  PLUSGMASTERLOCKBOX, PLUSGPTWLCKTGOP, PLUSGMASTERLOCKBOX, locknum=:locknumber or locknum=:addlocknumber, -, -, Relationship for PLUSGMASTERLOCKBOX, 100461
  PLUSGLOCKDETAIL, PLUSGPTWLCKTGOP, PLUSGLOCKDETAIL, locknum=:locknumber and refernum=:addlocknumber, -, -, Relationship for PLUSGLOCKDETAIL, 100462
  PLUSGPERMITWORK, PLUSGPTWLCKTGOP, PLUSGPERMITWORK, plusgpermitworkid=:plusgpermitworkid, -, -, Relationship for PLUSGPERMITWORK, 100463
  PLUSGPTWLCKTGOP, PLUSGMASTERLOCKBOX, PLUSGPTWLCKTGOP, locknumber=:locknum or addlocknumber=:locknum, -, -, Relationship for PLUSGPTWLCKTGOP, 100464
  PLUSGPERMITWORK, PLUSGLOCKDETAIL, PLUSGPERMITWORK, masterlockbox=:locknum and masterlockboxkey=:refernum and siteid=:siteid and orgid=:orgid, -, -, Relationship for PLUSGPERMITWORK, 100465
  PLUSGMASTERLOCKBOX, PLUSGRELATEDREC, PLUSGMASTERLOCKBOX, locknum=:relmasterlockbox and siteid=:siteid and orgid=:orgid, -, -, Relationship for PLUSGMASTERLOCKBOX, 100466
  PLUSGLOCKDETAIL, PLUSGRELATEDREC, PLUSGLOCKDETAIL, locknum=:relmasterlockbox and refernum=:relmastersecondkey and siteid=:siteid and orgid=:orgid, -, -, Relationship for PLUSGLOCKDETAIL, 100467
  PLUSGRELATEDREC, PLUSGLOCKDETAIL, PLUSGRELATEDREC, relmasterlockbox=:locknum and relmastersecondkey=:refernum and siteid=:siteid and orgid=:orgid, -, -, Relationship for PLUSGLOCKDETAIL, 100468
  PLUSGRELATEDREC, PLUSGMASTERLOCKBOX, PLUSGRELATEDREC, relmasterlockbox=:locknum and siteid=:siteid and orgid=:orgid, -, -, Relationship for PLUSGLOCKDETAIL, 100469
