IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT NAME, PARENT, CHILD, WHERECLAUSE, CARDINALITY, DBJOINREQUIRED, REMARKS, MAXRELATIONSHIPID FROM MAXRELATIONSHIP;
  WOMETER, WORKORDER, WOMETER, wonum=:wonum and siteid=:siteid , MULTIPLE, 0, Relationship to the WOMeter table, used to find all wometers having this meter. (workorder.wonum = wometer.wonum). The resulting set will contain zero or more objects., 80043
  SMS, PERSON, SMS, personid=:personid, MULTIPLE, 0, Relationship from the person table to the sms table where person=person.  This will return 0 or more records., 80044
  VIEWCONTINPUT, SPRELATEDASSET, VIEWCONTINPUT, -, UNDEFINED, 0, Relationship to the non-persistent ViewContInput, 80045
  LONGDESC, WFASSIGNMENT, LONGDESCRIPTION, ldkey=:wfassignmentid and ldownertable = 'WFASSIGNMENT', UNDEFINED, 0, Relationship to get long description table from WFASSIGNMENT., 80056
  DOCLINKS, INCIDENT, DOCLINKS, doclinksid in (select doclinksid from doclinks where (ownertable = 'INCIDENT' and ownerid = :ticketuid) UNION ALL select doclinksid from doclinks where (ownertable in ('SR','INCIDENT','PROBLEM') and ownerid in (select ticketuid from ticket,relatedrecord where ticketid=recordkey and ticket.class = relatedrecord.class and relatedrecclass=:class and relatedreckey=:ticketid)) UNION ALL select doclinksid from doclinks where (ownertable in ('WOCHANGE','WORELEASE','WOACTIVITY','WORKORDER') and ownerid in (select workorderid from workorder,relatedrecord where workorder.wonum=recordkey and workorder.woclass = relatedrecord.class and relatedrecclass=:class and relatedreckey=:ticketid and relatedrecord.siteid=workorder.siteid)) UNION ALL select doclinksid from doclinks where (ownertable='SOLUTION' and ownerid in (select solutionid from solution where solution=:solution)) UNION ALL select doclinksid from doclinks where (ownertable='ASSET' and ownerid in (select assetuid from asset where assetnum=:assetnum and siteid=:assetsiteid)) UNION ALL select doclinksid from doclinks where (ownertable='LOCATIONS' and ownerid in (select locationsid from locations where location=:location and siteid=:assetsiteid)) UNION ALL select doclinksid from doclinks where (ownertable='WOACTIVITY' and ownerid in (select workorderid from woactivity where origrecordid=:ticketid and origrecordclass=:class)) UNION ALL select doclinksid from doclinks where (ownertable='JOBPLAN' and ownerid in (select jobplanid from jobplan where jpnum in (select jpnum from woactivity where origrecordid=:ticketid and origrecordclass=:class))) UNION ALL select doclinksid from doclinks where (ownertable='COMMLOG' and ownerid in (select commloguid from commlog where ownertable='INCIDENT' and ownerid=:ticketuid))), UNDEFINED, 0, Relationship to the DocLinks table, used to find all document records for a given ticket.  (doclinks.keytable = 'INCIDENT' and doclinks.keycolumn = 'TICKETID' and doclinks.keyvalue = incident.ticketid$DOCLINKS.KEYVALUE and doclinks.orgid = incident.orgid). The resulting set will contain zero or more objects. Note: The INCIDENT.TICKETID field value will be formatted to match the DocLinks.KeyValue data type., 1551
  MP_LLJPFORSITEORGSYS, MEASUREPOINT, JOBPLAN, jpnum=:lljpnum and (siteid=:siteid or (siteid is null and orgid=:orgid) or (siteid is null and orgid is null)) and status in (select value from synonymdomain where domainid='JOBPLANSTATUS' and maxvalue ='ACTIVE'), UNDEFINED, 0, Relationship to the jobplan object, used to find the jobplan for a given MeaurePoint's lower limit jobplan number. ( jpnum=:lljpnum and (siteid=:siteid or (siteid is null and orgid=:orgid) or (siteid is null and orgid is null)) ).  The resulting set will contain one object, 3087
  CONTRACTASSET, ASSET, CONTRACTASSET, assetid=:assetid and orgid=:orgid, MULTIPLE, 0, Relationship to the ContractAsset table, used to find the begin and end dates associated with an asset on a contract, 79880
  CONTRACTLINEASSET, ASSET, CONTLINEASSET, assetid=:assetid, UNDEFINED, 0,  Relationship to the Contract Line Asset table that stores the warranty begin and expiry dates, 79881
  ITEM, JOBMATERIAL, ITEM, itemnum = :itemnum and itemsetid = :itemsetid, UNDEFINED, 0, Relationship to the Job Material's Item records, used to find the item records for a given Job Material. (item.itemnum=jobmaterial.itemnum and item.itemsetid = jobmaterial.itemsetid). The resulting set will contain zero or one record., 2616
  WARRANTYASSET, WARRANTYVIEW, WARRANTYASSET, contractnum=:contractnum and revisionnum=:revisionnum and orgid=:orgid, UNDEFINED, 0, Relationship to the WarrantyAsset table, used to find the WarrantyAsset records for a given Warranty Contract. (warrantyview.contractnum=warrantyasset.contractnum and warrantyview.revisionnum=warrantyasset.revisionum and warrantyview.orgid=warrantyasset.orgid). The resulting set will contain zero or more objects., 2754
  COMMODITYGROUP, ITEM, COMMODITIES, commodity = :commoditygroup and itemsetid = :itemsetid, UNDEFINED, 0, Relationship to the Commodities table, used to find the commodity associated with the Item's CommodityGroup. (commodities.commodity = item.commoditygroup and commodities.itemsetid = item.itemsetid). The resulting set will contain one object., 2860
  LANGUAGE, PERSON, LANGUAGE, maxlangcode=:language, UNDEFINED, 0, Relationship from Person to Language where language=maxlangcode.  Will return 0 or 1 object., 2862
  SETLEVEL, ORGANIZATION, AUTOKEY, orgid is null and siteid is null and (setid =:itemsetid or setid = :companysetid), UNDEFINED, 0, Relationship to Autokey to get Set Level Autokeys. (orgid is null and siteid is null and (setid = organization.itemsetid or setid = organization.companysetid), 3027
  CTRLGROUP, CTRL_SECTION, CTRLGROUP, app = :app and optionname = :sigoption, UNDEFINED, 0, Relationship to the CTRLGROUP table, used to find the security groups for a given sigoption. (ctrlgroup.app=ctrl_section.app and ctrlgroup.optionname=ctrl_section.sigoption). The resulting set will contain zero or more objects., 93512
  SLACONTRACT, WARRANTYVIEW, SLACONTRACT, contractnum=:contractnum, UNDEFINED, 0, Relationship to the SLAContract table, used to find all slacontracts for a given purchase contract. (warrantyview.contractnum = slacontract.contractnum). The resulting set will contain zero or more object., 2713
  RECEIPTTYPEMATREC, PO, MATRECTRANS, ponum=:ponum and positeid=:siteid and status is not null and issuetype in (select value from synonymdomain where domainid='ISSUETYP' and maxvalue in ('TRANSFER','RECEIPT')) and not exists (select locations.location from locations where locations.location=matrectrans.fromstoreloc and locations.siteid=matrectrans.fromsiteid and locations.type in (select value from synonymdomain where domainid='LOCTYPE' and maxvalue='HOLDING')), UNDEFINED, 0, Relationship to the MatRecTrans table, used to find all records of type RECEIPT and TRANSFER that do not have a fromstoreloc of type HOLDING and that are not receipts of rotating assets (po.ponum = matrectrans.ponum  and po.siteid = matrectrans.siteid and matrectrans.status is not null and issuetype in (select value from synonymdomain where domainid='ISSUETYP' and maxvalue in ('TRANSFER','RECEIPT')) and not exists (select locations.location from locations where locations.location=matrectrans.fromstoreloc and locations.siteid=matrectrans.fromsiteid and locations.type in (select value from synonymdomain where domainid='LOCTYPE' and maxvalue='HOLDING')))., 79974
  DPAMREFMANUFACTURERC, DPAMMANUVARIANT, DPANETADAPTER, manufacturer=:manufacturervar, UNDEFINED, 0, Find the network adaptars that reference this manufacturer, 2990
  CLASSANCESTOR_ANCESTOR, CLASSSTRUCTURE, CLASSANCESTOR, ancestorclassid=:classificationid , UNDEFINED, 0, Relationship to the classancestor table, used to find the ancestor records for a given classstructure. (classstructure.classsificationid = classancestor.ancestorclassid). The resulting set will contain zero or more objects., 3055
  LANGTABLE, MAXOBJECTCFG, L_MAXOBJECTCFG, ownerid=:maxobjectid, UNDEFINED, 0, Relationship to get language table from MAXOBJECTCFG., 80052
  LANGTABLE, MAXATTRIBUTECFG, L_MAXATTRCFG, ownerid=:maxattributeid, UNDEFINED, 0, Relationship to get language table from MAXATTRIBUTECFG., 80053
  LONGDESC, WFPROCESS, LONGDESCRIPTION, ldkey=:wfprocessid and ldownertable = 'WFPROCESS', UNDEFINED, 0, Relationship to get long description table from WFPROCESS., 80054
  LONGDESC, WFNODE, LONGDESCRIPTION, ldkey=:wfnodeid and ldownertable = 'WFNODE', UNDEFINED, 0, Relationship to get long description table from WFNODE., 80055
  CISPECCLASS, CI, CISPEC, cinum=:cinum and classstructureid = :classstructureid, UNDEFINED, 0, Relationship to the CISpec table, used to find all specifications for a given CI with a given classstructureid., 88802
  SCHWARRANTYVIEW, WARRANTYVIEW, SCHWARRANTYVIEW, contractnum = :contractnum and revisionnum = :revisionnum and orgid= :orgid, UNDEFINED, 0, Relationship to the SchWarrantyView view, used to find all warranty schedules for a given warranty contract. (warrantyview.contractnum = :schwarrantyview.contractnum and warrantyview.revisionnum = :schwarrantyview.revisionnum and warrantyview.orgid= :schwarrantyview.orgid), 2898
  WFASSIGNMENT, INCIDENT, WFASSIGNMENT, ownertable = 'INCIDENT' and wfassignment.ownerid = :ticketuid and assignstatus in (select value from synonymdomain where domainid='WFASGNSTATUS' and maxvalue='ACTIVE'), UNDEFINED, 0, Relationship to active assignments on this RFQ. (ownertable = 'RFQ' and ownerid = :rfqid and assignstatus in (select value from synonymdomain where domainid='WFASGNSTATUS' and maxvalue='ACTIVE')). Zero to many member set., 79941
  WFTOOLBAR, WOCHANGE, WFTOOLBAR, -, UNDEFINED, 0, Get the virutal set that manages the toolbar buttons., 79942
  WFTOOLBAR, WOACTIVITY, WFTOOLBAR, -, UNDEFINED, 0, Relationship to virutal set that manages the toolbar buttons. (empty). Any number member set., 79943
  WFTOOLBAR, SR, WFTOOLBAR, -, UNDEFINED, 0, Relationship to virutal set that manages the toolbar buttons. (empty). Any number member set., 79944
  WFTOOLBAR, SOLUTION, WFTOOLBAR, -, UNDEFINED, 0, Relationship to virutal set that manages the toolbar buttons. (empty). Any number member set., 79945
  WFTOOLBAR, MR, WFTOOLBAR, -, UNDEFINED, 0, Relationship to virutal set that manages the toolbar buttons. (empty). Any number member set., 79946
  ALLLOCATION, WORELEASE, MULTIASSETLOCCI, recordkey=:wonum and recordclass=:woclass and location is not null and worksiteid=:siteid, UNDEFINED, 0, Relationship to changes, 79967
  MKTPOLINE, PO, POLINE, ponum=:ponum and siteid=:siteid and mktplcitem=:yes, UNDEFINED, 0, Relationship to the POLine table used to obtain all POLines that have the mktplcitem flag set to true (po.ponum=poline.ponum and poline.mktplcitem=yes).The resulting set will contain zero or more objects, 79968
  LSNRBPUPDSR, INBOUNDCOMM, SR, reportedby=:personid, UNDEFINED, 0, all sr records for the person for inboundcomm, 80000
  LSNRBPUPDPR, INBOUNDCOMM, PROBLEM, reportedby=:personid, UNDEFINED, 0, all Problem records for the person for inboundcomm, 80001
  LSNRBPUPDIN, INBOUNDCOMM, INCIDENT, reportedby=:personid, UNDEFINED, 0, all Incident records for the person for inboundcomm, 80002
  VIEWCONTINPUT, PMMETER, VIEWCONTINPUT, -, UNDEFINED, 0, Relationship to the non-persistent ViewContInput, 79829
  VIEWCONTINPUT, PROBLEM, VIEWCONTINPUT, -, UNDEFINED, 0, Relationship to the non-persistent ViewContInput, 79830
  WFTOOLBAR, PR, WFTOOLBAR, -, UNDEFINED, 0, Relationship to virutal set that manages the toolbar buttons. (empty). Any number member set., 79798
  CLASSSPEC, CLASSSPECUSEWITH, CLASSSPEC, classspecid = :classspecid, UNDEFINED, 0, Relationship to the classspec table, used to find the classspec records for a given classspecusewith. (classspec.classspecid=classspecusewith.classspecid) The resulting set will contain one object., 80193
  FEATURE, ASSETFEATURE, FEATURES, feature=:feature, UNDEFINED, 0, Relationship to the Features table, used to find the feature for this AssetFeature. (features.feature=assetfeature.feature). The resulting set will contain one object., 80170
  CLASSANCESTOR, CLASSSTRUCTURE, CLASSANCESTOR, classstructureid=:classstructureid, UNDEFINED, 0, Relationship to the classancestor table, used to find the ancestor records for a given classstructure. (classstructure.classsificationid = classancestor.classificationid). The resulting set will contain zero or more objects., 3054
  WORKFLOWMAP, MR, WORKFLOWMAP, -, UNDEFINED, 0, Get virtual set to display process maps, 79958
  WORKFLOWMAP, INCIDENT, WORKFLOWMAP, -, UNDEFINED, 0, Get virtual set to display process maps, 79959
  DOESASSETANCESTOREXIST, ASSET, ASSETANCESTOR, assetnum=:newparent and ancestor=:assetnum and siteid=:siteid, UNDEFINED, 0, Relationship to the assetancestor records, used to see if this asset's proposed new parent is already a child of this asset. The result will be one or zero records.  (assetancestor.assetnum=asset.newparent and assetancestor.ancestor=asset.assetnum and assetancestor.siteid=asset.siteid), 79975
  SECURITYRESTRICT, MAXOBJECT, SECURITYRESTRICT, objectname = :objectname, UNDEFINED, 0, Relationship from MaxObject to Security Restriction, 80104
  SECURITYRESTRICTROW, MAXOBJECT, SECURITYRESTRICT, objectname = :objectname and :type in (select maxvalue from synonymdomain where domainid = 'RESTRICTTYPE' and maxvalue = 'ROW'), UNDEFINED, 0, Relationship from MaxObject to Security Restriction for row restrictions only, 80105
  SECURITYRESTRICT, MAXATTRIBUTE, SECURITYRESTRICT, objectname = :objectname and attributename = :attributename, UNDEFINED, 0, Relationship from MaxAttribute to Security Restriction, 80106
  SECURITYRESTRICT, CONDITION, SECURITYRESTRICT, conditionnum = :conditionnum, UNDEFINED, 0, Relationship from Condition to Security Restriction, 80107
  DOCLINKS, MATRECTRANS, DOCLINKS, doclinksid in (select doclinksid from doclinks where (ownertable='MATRECTRANS' and ownerid=:matrectransid) UNION ALL select doclinksid from doclinks where (ownertable = 'COMPANIES' and ownerid in (select companiesid from companies where company in (select vendor from po where ponum=:ponum and orgid=:orgid))) UNION ALL select doclinksid from doclinks where (ownertable = 'PO' and ownerid in (select poid from po where ponum = :ponum and siteid=:siteid))), UNDEFINED, 0, Relationship to the doclinks table, used to find all document records for a given receipt. The resulting set will contain zero or more objects., 2843
  DPAMREFMANUFACTURERI, DPAMMANUVARIANT, DPAOS, manufacturer=:manufacturervar, UNDEFINED, 0, Find the OS that reference this manufacturer, 2996
  DPAMREFMANUFACTURERJ, DPAMMANUVARIANT, DPASOFTWARE, manufacturer=:manufacturervar, UNDEFINED, 0, Find the software that reference this manufacturer, 2997
  DPAMREFMANUFACTURERK, DPAMMANUVARIANT, DPASWSUITE, manufacturer=:manufacturervar, UNDEFINED, 0, Find the SW suites that reference this manufacturer, 2998
  DPAMREFMANUFACTURERL, DPAMMANUVARIANT, DPANETDEVCARD, manufacturer=:manufacturervar, UNDEFINED, 0, Find the network device cards that reference this manufacturer, 2999
  VIEWCONTINPUT, WPSERVICE, VIEWCONTINPUT, -, UNDEFINED, 0, Relationship to the non-persistent ViewContInput, 79874
  WPMATERIAL_QBE, WORKORDER, WPMATERIAL, exists (select 1 from workorder yy where ((yy.istask = :yes and yy.parent = :wonum ) or (yy.wonum = :wonum)) and wpmaterial.wonum = yy.wonum and yy.siteid = :siteid) and siteid = :siteid, MULTIPLE, 0, Relationship from workorder to wpmaterial for qbe , 79905
  VIEWCONTINPUT, SCHEDULELINE, VIEWCONTINPUT, -, UNDEFINED, 0, Relationship to the non-persistent ViewContInput, 79832
  VIEWCONTINPUT, SERVRECTRANS, VIEWCONTINPUT, -, UNDEFINED, 0, Relationship to the non-persistent ViewContInput, 79833
  VIEWCONTINPUT, SLAASSETLOC, VIEWCONTINPUT, -, UNDEFINED, 0, Relationship to the non-persistent ViewContInput, 79834
  ASSETTYPECOMM, TKTEMPLATE, ASSETLOCCOMM, commodity=:commodity and assettype is not null, UNDEFINED, 0, -, 79764
  ASSETLOCCOMM, TKTEMPLATE, ASSETLOCCOMM, commodity=:commodity and assettype is null, UNDEFINED, 0, -, 79765
  DRILLDOWN, CONTRACTASSET, DRILLDOWN, -, UNDEFINED, 0, Relationship to the drill down non-persistent object, 79962
  DRILLDOWN, WARRANTYASSET, DRILLDOWN, -, UNDEFINED, 0, Relationship to the drill down non-persistent object, 79963
  PRLINE, CONTRACTLINE, PRLINE, contractlineid=:contractlineid and orgid=:orgid, UNDEFINED, 0, Relationship to the PRLine table, used to find all pr lines for a given contract line. (contractline.contractlineid = prline.contractlineid and contractline.orgid = prline.orgid). The resulting set will contain zero or one object., 80205
  EXCLUDEPASSWORD, USERSECCONTROL, EXCLUDEPASSWORD, 1=1, UNDEFINED, 0, Relationship from UserSecControl to ExcludePassword, 80206
  MAXLECONTEXT, MAXLAUNCHENTRY, MAXLECONTEXT, launchentryname=:launchentryname, UNDEFINED, 0, Relationship between Launch Entry and Launch Context, that shows all of the Launch Context that for Launch entry., 80207
  VIEWCONTINPUT, ASSETMOVEDFLT, VIEWCONTINPUT, -, UNDEFINED, 0, Relationship to the non-persistent ViewContInput, 79929
  PRODUCTINFO, FAVITEM, PRODUCTINFO, -, UNDEFINED, 0, -, 79930
  LOCMETERREADING, PMMETER, LOCMETERREADING, location=:location and metername=:metername and siteid=:siteid, UNDEFINED, 0, Relationsip to the PMMeters Locmeterreading records,used to find all location meter records for a given PMMeter metername/location, 2517
  CRAFTSKILL, ASSIGNMENT, CRAFTSKILL, craft=:craft and orgid=:orgid and (skilllevel=:skilllevel or (:skilllevel is null and skilllevel is null)), UNDEFINED, 0, Relationship to the CRAFTSKILL table for retrieving information about an  assignment's craft.  The resulting set will contain zero or one objects., 2657
  PERSON, ESIGLOGIN, PERSON, personid = (select personid from maxuser where userid=:userid), UNDEFINED, 0, Person Information, 2658
  JOBTASK, METER, JOBTASK, metername = :metername, UNDEFINED, 0, Relationship to the JobTask table, used to find all jobtasks having this meter. (jobtask.metername = meter.metername). The resulting set will contain zero or more objects., 2659
  CONTCOMMODITY, TKTEMPLATE, CONTCOMMODITY, commodity=:commodity and contractnum in (select contractnum from contract where contract.contractnum=contcommodity.contractnum and contract.revisionnum=contcommodity.revisionnum and contract.status in (select value from synonymdomain where domainid='CONTRACTSTATUS' and maxvalue='APPR')), UNDEFINED, 0, -, 79760
  PMVIAROUTE, DRILLDOWN, PM, ((location = :locvalue and :locison=:yes) or (assetnum=:assetvalue and :locison=:no)) and siteid=:siteid, UNDEFINED, 0, Relationship to the pm table, used to find the pm records for a given location or asset shown on DrilDown. (((pm.location = drilldown.locvalue and drilldown.locison=:yes) or (pm.assetnum=drilldown.assetvalue and drilldown.locison=:no)), 2900
  QUERYASSET, CONTRACTASSET, ASSET, assetid=:assetid, UNDEFINED, 0, Relationship to the asset table to obtain all asset records that have the same asset identifier(contractasset.assetid=asset.assetid, 79908
  NEWCHANGE, TICKET, WOCHANGE, origrecordclass = :class and origrecordid = :ticketid and reportdate = (select max(reportdate) from wochange where origrecordclass = :class and origrecordid = :ticketid), UNDEFINED, 0, This relationship gets the last change created by this ticket. (<long>) One member set., 3078
  NEWRELEASE, TICKET, WORELEASE, origrecordclass = :class and origrecordid = :ticketid and woclass in (select value from synonymdomain where domainid = 'WOCLASS' and maxvalue = 'RELEASE') and reportdate = (select max(reportdate) from workorder where origrecordclass = :class and origrecordid = :ticketid and woclass in (select value from synonymdomain where domainid = 'WOCLASS' and maxvalue = 'RELEASE')), UNDEFINED, 0, This relationship gets the last release created by this ticket. (<long>) One member set., 3079
  COMMLOG, BULLETINBOARD, COMMLOG, ownerid=:bulletinboarduid and ownertable='BULLETINBOARD', UNDEFINED, 0, Relationship to the COMMLOG table used to get all communication log entries for a bulletin board., 79993
  SWUSGQUERY, COMPUTERSYSTEM, SWUSGQUERY, -, UNDEFINED, 0, -, 79890
  WFTOOLBAR, PO, WFTOOLBAR, -, UNDEFINED, 0, Relationship to virutal set that manages the toolbar buttons. (empty). Any number member set., 79797
  VIEWCONTINPUT, MATRECTRANS, VIEWCONTINPUT, -, UNDEFINED, 0, Relationship to the non-persistent ViewContInput, 79820
  CLASSSPEC, FEATURES, CLASSSPEC, classstructureid=:classstructureid, UNDEFINED, 0, Relationship to the ClassSpec table, used to find all class specification records for a given feature (classspec.classstructureid = features.classstructureid). The resulting set will contain zero or more objects., 80168
  STATUSDESC, PR, SYNONYMDOMAIN, domainid='PRSTATUS' and value=:status and :&DOMAINFILTER&_STATUS, UNDEFINED, 0, Relationship to synonymdomain table, used to find description for the status, it will contain one object., 2796
  STATUSDESC, RFQ, SYNONYMDOMAIN, domainid='RFQSTAT' and value=:status and :&DOMAINFILTER&_STATUS, UNDEFINED, 0, Relationship to synonymdomain table, used to find description for the status, it will contain one object., 2797
  DOCLINKS, WOCHANGE, DOCLINKS, doclinksid in (select doclinksid from doclinks where (ownertable='WOCHANGE' and ownerid=:workorderid) UNION ALL select doclinksid from doclinks where (ownertable='WOCHANGE' and ownerid in (select workorderid from workorder where parent=:wonum and istask=1 and siteid=:siteid)) UNION ALL select doclinksid from doclinks where (ownertable='ASSET' and ownerid in (select assetuid from asset where assetnum=:assetnum and siteid=:siteid)) UNION ALL select doclinksid from doclinks where (ownertable='LOCATIONS' and ownerid in (select locationsid from locations where location=:location and siteid=:siteid)) UNION ALL select doclinksid from doclinks where (ownertable='JOBPLAN' and ownerid in (select jobplanid from jobplan where jpnum=:jpnum and (siteid is null or siteid=:siteid) and pluscrevnum =:pluscjprevnum) ) UNION ALL select doclinksid from doclinks where (ownertable='PM' and ownerid in (select pmuid from pm where pmnum=:pmnum and siteid=:siteid)) UNION ALL select doclinksid from doclinks where (ownertable='SAFETYPLAN' and ownerid in (select safetyplanuid from safetyplan,wosafetyplan where safetyplan.safetyplanid=wosafetyplan.safetyplanid and wosafetyplan.wonum=:wonum and wosafetyplan.siteid=:siteid)) UNION ALL select doclinksid from doclinks where (ownertable in ('SR','INCIDENT','PROBLEM') and ownerid in (select ticketuid from ticket,relatedrecord where ticketid=recordkey  and ticket.class = relatedrecord.class and relatedrecclass=:woclass and relatedreckey=:wonum and relatedrecsiteid=:siteid)) UNION ALL select doclinksid from doclinks where (ownertable in ('WORKORDER','WORELEASE','WOACTIVITY') and ownerid in (select workorderid from workorder,relatedrecord where wonum=recordkey and workorder.woclass = relatedrecord.class and relatedrecclass=:woclass and relatedreckey=:wonum and relatedrecsiteid=:siteid)) UNION ALL select doclinksid from doclinks where (ownertable='COMMLOG' and ownerid in (select commloguid from commlog where ownerid=:workorderid and ownertable in (:&synonymlist&_WOCLASS[ACTIVITY,CHANGE,RELEASE,WORKORDER]))) UNION ALL select doclinksid from doclinks where (ownertable='SLA' and ownerid in (select slaid from sla,slarecords,workorder where sla.slanum=slarecords.slanum and slarecords.ownerid=workorder.workorderid and sla.objectname='WOCHANGE' and slarecords.ownertable='WOCHANGE' and workorder.wonum=:wonum))), UNDEFINED, 0, Relationship to the Doclinks table, used to find all doclinks for a work order. (Doclinks.keytable = 'WOCHANGE' and Doclinks.keycolumn = 'WONUM' and Doclinks.keyvalue = Workorder.wonum). This resulting set will contain zero or more objects., 79971
  COMM_CONTGRP, WARRANTYVIEW, CONTCOMMODITY, contractnum = :contractnum and revisionnum=:revisionnum and orgid = :orgid and commodity in (select commodity from contcommodity where parent is null), UNDEFINED, 0, Relationship to the ContCommodity table used to find all commodities that dont have a parent. (warrantyview.contractnum = contcommodity.contractnum and warrantyview.revisionnum=contcommodity.revisionnum and warrantyview.orgid=contcommodity.orgid). The resulting set might contain one or more objects., 2948
  MEARCVASSET, MATRECTRANS, ASSET, assetnum=:assetnum and siteid=:siteid, UNDEFINED, 0, Relationship to get the Asset, 2949
  ASSETFORMATREC, MATRECTRANS, ASSET, assetnum in (select assetnum from assettrans where matrectransid=:matrectransid) , UNDEFINED, 0, Relationship to get the Asset table to get the asset numbers that were created from a MatRecTrans record , 2950
  CONTRACTCOMMODITY, WARRANTYVIEW, CONTCOMMODITY, contractnum=:contractnum and revisionnum=:revisionnum and orgid=:orgid, UNDEFINED, 0, Relationship to the ContCommodity table, used to find all commodities for a given contract. (contcommodity.contractnum = warrantyview.contractnum and contcommodity.revisionnum=warrantyview.revisionnum). The resulting set will contain zero or more objects., 2951
  SIGOOTHER2, MAXAPPS, SIGOPTION, app = :app and optionname not in ('READ','INSERT','SAVE','DELETE') and visible = :no, UNDEFINED, 0, Maxapps to Sigoption for optionnames other than Read, Insert, Save, and Delete and visible is false, 2952
  MEASUREMENTS, ASSET, MEASUREMENT, assetid = :assetid, MULTIPLE, 0, Relationship to the Measurement table, used to find all measurements for an asset.  The WHERE clause is: measurement.assetid = asset.assetid). The resulting set will contain zero or more objects., 79909
  MEASUREMENTS, LOCATIONS, MEASUREMENT, location = :location and siteid=:siteid, MULTIPLE, 0, Relationship to the Measurement table, used to find all measurements associated with the location. The WHERE clause is: measurement.location = locations.location and measurement.siteid = measurement.siteid. The resulting set will contain zero or more objects., 79910
  ASSIGNMENT, WORKORDER, ASSIGNMENT, wonum=:wonum and siteid=:siteid, MULTIPLE, 0, Relationship to the Assignment table, used to find all assignments for a work order. (assignment.wonum = workorder.wonum). This resulting set will contain zero or more objects., 79911
  LMOIMLINK, LMO, MAXIM, imname in (select imname from ompimlmorln where lmoname=:lmoname and lmonamespace=:lmonamespace), UNDEFINED, 0, Relationship to the IM table, used to relate LMO OIL and IM Tables . , 80246
  MAXGROUP, VIEWSECURITYGR, MAXGROUP, groupname=:groupname, UNDEFINED, 0, Relationship to MAXGROUP from VIEWSECURITYGR, 88792
  MAXMENUMODULEAPP, MAXAPPS, MAXMENU, menutype='MODULE' and moduleapp=:module, UNDEFINED, 0, Relationship to MaxMenu table, used to find all MaxMenu app records for a module. (menutype='MODULE' and moduleapp=:module). This relationship will find 1 or more objects., 79896
  STATUSDESC, MAXUSER, SYNONYMDOMAIN, domainid ='MAXUSERSTATUS' and value = :status and :&DOMAINFILTER&_STATUS, UNDEFINED, 0, Relationship from MaxUser to SynonymDomain for status description, 79897
  STATUSDESC, LABORQUAL, SYNONYMDOMAIN, domainid='QUALSTAT' and value=:status and :&DOMAINFILTER&_STATUS, UNDEFINED, 0, Relationship from LaborQual to Synonymdomain to get the description of the status., 2792
  MAXVARINPUTOWNERASGN, ORGANIZATION, MAXVARINPUT, orgid=:orgid, UNDEFINED, 0, Relationship to the MaxVarInput table, used to get an instance of the non-persistent MBO of MaxVarInput for the organization. (maxvarinput.orgid =  organization.orgid). This relationship will find zero or more objects., 80026
  CONTRACTLEASEEND, LEASEVIEW, CONTRACTLEASEEND, -, UNDEFINED, 0, Relationship to the non-persistent CONTRACTLEASEEND object., 80027
  ASSET, CONTLEASEENDASST, ASSET, assetnum=:assetnum and orgid=:orgid, UNDEFINED, 0, Relationship to the Asset table, used to find all asset for a given contract asset. (contractasset.assetnum=asset.assetnum and contractasset.orgid=asset.orgid)., 80028
  SCHEDULELINE, CONTRACTASSET, SCHEDULELINE, contractnum=:contractnum and revisionnum=:revisionnum and orgid=:orgid and assetid=:assetid, UNDEFINED, 0, Relationship to the Scheduleline table, used to find all schedule lines for a given contract asset., 80029
  VIEWREVHIST, WARRANTYVIEW, WARRANTYVIEW, contractnum=:contractnum and orgid=:orgid, UNDEFINED, 0, Relationship to the WarrantyView table used to find all WarrantyView for a given Warranty Contract., 80030
  CLASSSTRUCTURE, JOBPLAN, CLASSSTRUCTURE, classstructureid=:classstructureid, UNDEFINED, 0, Relationship to the classstructure table, used to find the classstructure records for a given jobplan (classstructure.classstructureid=jobplan.classstructureid). The resulting set will contain zero or one object., 80242
  COLLECTDETAILS, COLLECTION, COLLECTDETAILS, collectionnum = :collectionnum, UNDEFINED, 0, Relationship to the COLLECTDETAILS table, used to find a Collection Details record for a given COLLECTION. (COLLECTDETAILS.collectionnum = COLLECTION.collectionnum). The resulting set will contain zero or one object., 80243
  STATUSDESC, FEATURES, SYNONYMDOMAIN, domainid='FEATURESTATUS' and value=:status and :&DOMAINFILTER&_STATUS, UNDEFINED, 0, Relationship to SYNONYMDOMAIN., 88783
  LMOOILLINK, LMO, OMPIMLMORLN, name=:lmoname and namespace=:lmonamespace, UNDEFINED, 0, Relationship to the OIL Table . , 80244
  LMOOMPLINK, LMO, OMP, ompguid in (select ompguid from ompimlmorln where lmoname=:lmoname and lmonamespace=:lmonamespace), UNDEFINED, 0, Relationship to the OMPtable, used to relate LMO OIL and OMP Tables . , 80245
