IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT APPNAME, MODULE, SELFSERVICE, LIMITEDUSE, AUTHORIZEDUSE FROM MAXLICAPPACCESS;
  PLUSGMCR, PLUSGCHG, NOACCESS, READSAVE, FULLACCESS
  PLUSGITEM, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSGBYP, PLUSGOP, NOACCESS, READSAVE, FULLACCESS
  PLUSGLOGBK, PLUSGOP, NOACCESS, READSAVE, FULLACCESS
  PLUSGPOL, PLUSGOP, NOACCESS, READSAVE, FULLACCESS
  PLUSGPROC, PLUSGOP, NOACCESS, READSAVE, FULLACCESS
  PLUSGOPACT, PLUSGOP, NOACCESS, READSAVE, FULLACCESS
  PLUSGLOG, PLUSGOP, NOACCESS, READSAVE, FULLACCESS
  PLUSGOPTSK, PLUSGOP, NOACCESS, FULLACCESS, FULLACCESS
  PLUSGRLOG, PLUSGOP, NOACCESS, READSAVE, FULLACCESS
  PLUSGAL, PLANS, NOACCESS, READONLY, FULLACCESS
  PLUSGBEN, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGCFW, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGHAZ, PLANS, NOACCESS, READONLY, FULLACCESS
  PLUSGISO, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGJP, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGTGLCK, PLANS, NOACCESS, READONLY, FULLACCESS
  PLUSGPCT, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGPTW, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGPREC, PLANS, NOACCESS, READONLY, FULLACCESS
  PLUSGRFW, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGREG, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGRSK, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGCON, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGROU, PLANS, NOACCESS, READONLY, FULLACCESS
  PLUSGSTAG, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGSTA, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGPM, PM, NOACCESS, READSAVE, FULLACCESS
  PLUSGPO, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSGPR, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSGAUDIT, PLUSGSD, NOACCESS, READSAVE, FULLACCESS
  PLUSGCERT, PLUSGSD, NOACCESS, READSAVE, FULLACCESS
  PLUSGDEF, PLUSGSD, NOACCESS, READSAVE, FULLACCESS
  PLUSGINC, PLUSGSD, NOACCESS, READSAVE, FULLACCESS
  PLUSGINV, PLUSGSD, NOACCESS, READSAVE, FULLACCESS
  PLUSGSR, PLUSGSD, NOACCESS, READSAVE, FULLACCESS
  PLUSGSOL, PLUSGSD, FULLACCESS, FULLACCESS, FULLACCESS
  PLUSGTKTMP, PLUSGSD, NOACCESS, READSAVE, FULLACCESS
  PLUSGCRINC, SSDR, FULLACCESS, FULLACCESS, FULLACCESS
  PLUSGVWINC, SSDR, FULLACCESS, FULLACCESS, FULLACCESS
  PLUSGACT, WO, NOACCESS, READSAVE, FULLACCESS
  PLUSGDRL, WO, NOACCESS, READSAVE, FULLACCESS
  PLUSGQRP, WO, NOACCESS, FULLACCESS, FULLACCESS
  PLUSGWO, WO, NOACCESS, FULLACCESS, FULLACCESS
  COGNOSHOME, ANALYTICS, NOACCESS, READONLY, FULLACCESS
  KPIVIEWER, ANALYTICS, NOACCESS, FULLACCESS, FULLACCESS
  RPTOUTPUT, ANALYTICS, READONLY, FULLACCESS, FULLACCESS
  ASSET, ASSET, NOACCESS, READSAVE, FULLACCESS
  COND, ASSET, NOACCESS, READONLY, FULLACCESS
  DPLDASSET, ASSET, NOACCESS, NOACCESS, NOACCESS
  FAILURE, ASSET, NOACCESS, READONLY, FULLACCESS
  FEATURE, ASSET, NOACCESS, READSAVE, FULLACCESS
  LOCATION, ASSET, NOACCESS, READSAVE, FULLACCESS
  METER, ASSET, NOACCESS, READONLY, FULLACCESS
  METERGRP, ASSET, NOACCESS, READONLY, FULLACCESS
  NDASSET, ASSET, NOACCESS, NOACCESS, NOACCESS
  NPASSET, ASSET, NOACCESS, NOACCESS, NOACCESS
  PLUSCTMPLT, ASSET, NOACCESS, READSAVE, FULLACCESS
  RELATION, ASSET, NOACCESS, READONLY, FULLACCESS
  SFWLICVIEW, ASSET, NOACCESS, NOACCESS, NOACCESS
  ACTIVITY, WO, NOACCESS, FULLACCESS, FULLACCESS
  CHANGE, CHANGE, NOACCESS, FULLACCESS, FULLACCESS
  ACTUALCI, CI, NOACCESS, READSAVE, FULLACCESS
  CI, CI, NOACCESS, READONLY, FULLACCESS
  COLLECTION, CI, NOACCESS, READONLY, FULLACCESS
  CONTLABOR, CONTRACT, NOACCESS, READSAVE, FULLACCESS
  CONTLEASE, CONTRACT, NOACCESS, READSAVE, FULLACCESS
  CONTMASTER, CONTRACT, NOACCESS, READSAVE, FULLACCESS
  CONTPURCH, CONTRACT, NOACCESS, READSAVE, FULLACCESS
  CONTSFW, CONTRACT, NOACCESS, NOACCESS, NOACCESS
  CONTWARRTY, CONTRACT, NOACCESS, READSAVE, FULLACCESS
  CHRTACCT, FINANCIAL, NOACCESS, READONLY, FULLACCESS
  CURRENCY, FINANCIAL, NOACCESS, READONLY, FULLACCESS
  EXCHANGE, FINANCIAL, NOACCESS, READONLY, FULLACCESS
  FINCNTRL, FINANCIAL, NOACCESS, READONLY, FULLACCESS
  CREATEINT, INT, NOACCESS, READONLY, FULLACCESS
  ENDPOINT, INT, NOACCESS, READONLY, FULLACCESS
  EXTSYSTEM, INT, NOACCESS, READONLY, FULLACCESS
  IM, INT, NOACCESS, READONLY, FULLACCESS
  INTERROR, INT, NOACCESS, READONLY, FULLACCESS
  INTMSGTRK, INT, NOACCESS, READONLY, FULLACCESS
  INTOBJECT, INT, NOACCESS, READONLY, FULLACCESS
  INTSRV, INT, NOACCESS, READONLY, FULLACCESS
  INVOKE, INT, NOACCESS, READONLY, FULLACCESS
  LAUNCH, INT, NOACCESS, READONLY, FULLACCESS
  LMO, INT, NOACCESS, READONLY, FULLACCESS
  MANAGEINT, INT, NOACCESS, READONLY, FULLACCESS
  OSLCPROV, INT, NOACCESS, READONLY, FULLACCESS
  OSLCRES, INT, NOACCESS, READONLY, FULLACCESS
  PUBLISH, INT, NOACCESS, READONLY, FULLACCESS
  WSREGISTRY, INT, NOACCESS, READONLY, FULLACCESS
  CONDCODE, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  INVENTOR, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  INVISSUE, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  INVUSAGE, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  ITEM, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  SHIPREC, INVENTOR, NOACCESS, READONLY, FULLACCESS
  SRVITEM, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  STOREROOM, INVENTOR, NOACCESS, READONLY, FULLACCESS
  TOOL, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  TOOLINV, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  HAZARDS, PLANS, NOACCESS, READONLY, FULLACCESS
  JOBPLAN, PLANS, NOACCESS, READSAVE, FULLACCESS
  PRECAUTN, PLANS, NOACCESS, READONLY, FULLACCESS
  ROUTES, PLANS, NOACCESS, READONLY, FULLACCESS
  SAFEPLAN, PLANS, NOACCESS, READONLY, FULLACCESS
  TAGLOCKS, PLANS, NOACCESS, READONLY, FULLACCESS
  MASTERPM, PM, NOACCESS, READONLY, FULLACCESS
  PM, PM, NOACCESS, READSAVE, FULLACCESS
  COMPANY, PURCHASE, NOACCESS, READONLY, FULLACCESS
  COMPMASTER, PURCHASE, NOACCESS, READONLY, FULLACCESS
  INVOICE, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PO, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PR, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  RECEIPTS, PURCHASE, NOACCESS, READONLY, FULLACCESS
  RFQ, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  TERMCOND, PURCHASE, NOACCESS, READONLY, FULLACCESS
  RELEASE, RELEASE, NOACCESS, FULLACCESS, FULLACCESS
  INCIDENT, SD, NOACCESS, READSAVE, FULLACCESS
  PROBLEM, SD, NOACCESS, READSAVE, FULLACCESS
  SOLUTION, SD, NOACCESS, READSAVE, FULLACCESS
  SR, SD, NOACCESS, READSAVE, FULLACCESS
  TKTEMPLATE, SD, NOACCESS, READSAVE, FULLACCESS
