IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT APPNAME, MODULE, SELFSERVICE, LIMITEDUSE, AUTHORIZEDUSE FROM MAXLICAPPACCESS;
  PLUSAJP, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSAMNTFO, PM, NOACCESS, READSAVE, FULLACCESS
  PLUSAMNTPL, PM, NOACCESS, READSAVE, FULLACCESS
  PLUSANAREC, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSAPO, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSAPR, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSARCPTS, PURCHASE, NOACCESS, READONLY, FULLACCESS
  PLUSARFQ, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSASCGRP, SECURITY, NOACCESS, READSAVE, FULLACCESS
  PLUSACMATC, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSACMATT, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSACMFLE, AVIATION, NOACCESS, READSAVE, FULLACCESS
  PLUSAFLEUL, AVIATION, NOACCESS, READSAVE, FULLACCESS
  PLUSAPMGRP, PM, NOACCESS, READSAVE, FULLACCESS
  PLUSABDIQ, AVIATION, NOACCESS, READSAVE, FULLACCESS
  PLUSALOGBK, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSACMPMS, PURCHASE, NOACCESS, READONLY, FULLACCESS
  PLUSAFLB, PLUSAFLB, NOACCESS, READSAVE, FULLACCESS
  PLUSAFLBSU, PLUSAFLB, NOACCESS, READSAVE, FULLACCESS
  PLUSAZONE, AVIATION, NOACCESS, READSAVE, FULLACCESS
  PLUSAROLCA, AVIATION, NOACCESS, READSAVE, FULLACCESS
  PLUSACA, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSALOGS, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSARSCFG, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSAPMEXTENSION, PM, NOACCESS, READONLY, FULLACCESS
  PLUSASLT, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSASSET, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSCL, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSCLSIGN, WO, FULLACCESS, FULLACCESS, FULLACCESS
  PLUSCMT, WO, NOACCESS, READSAVE, FULLACCESS
  PLUSCOMPAN, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSEVENT, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSFREQ, PM, NOACCESS, READSAVE, FULLACCESS
  PLUSIMPACT, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSINV, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSITEM, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSLOCAT, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSMSITE, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSPM, PM, NOACCESS, READSAVE, FULLACCESS
  PLUSPO, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSPR, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSQREP, WO, NOACCESS, FULLACCESS, FULLACCESS
  PLUSRFQ, PURCHASE, NOACCESS, READSAVE, FULLACCESS
  PLUSSR, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSTERMCD, PURCHASE, NOACCESS, READONLY, FULLACCESS
  PLUSTS, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSWOTR, WO, NOACCESS, FULLACCESS, FULLACCESS
  PLUSCA, PLUSCA, NOACCESS, READSAVE, FULLACCESS
  PLUSCCD, PLUSCCM, NOACCESS, READSAVE, FULLACCESS
  PLUSCONDRE, SSDR, FULLACCESS, FULLACCESS, FULLACCESS
  PLUSEG, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSPERMIT, PLUSPERMIT, NOACCESS, READSAVE, FULLACCESS
  PLUSQPERM, PLUSPERMIT, NOACCESS, READSAVE, FULLACCESS
  PLUSCHANGE, PLUSCCM, NOACCESS, READSAVE, FULLACCESS
  PLUSCI, CI, NOACCESS, READONLY, FULLACCESS
  PLUSRELEAS, PLUSCCM, NOACCESS, READSAVE, FULLACCESS
  PLUSSOLUT, PLUSCA, FULLACCESS, FULLACCESS, FULLACCESS
  PLUSLNUPPL, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSLNUPWK, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSCLKSK, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSLNPKSK, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSQASSET, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSQLOCAT, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSDUTY, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSDUTYPL, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSLCO, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSNOTIF, PLUSOPMNGT, NOACCESS, READONLY, FULLACCESS
  PLUSRDFREQ, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSJOBPLAN, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSQWOTR, WO, NOACCESS, FULLACCESS, FULLACCESS
  PLUSCLGRP, PLUSOPMNGT, NOACCESS, READSAVE, FULLACCESS
  PLUSDYNATEMP, UTIL, NOACCESS, READONLY, FULLACCESS
  PLUSOBJCTV, UTIL, NOACCESS, READONLY, FULLACCESS
  CALIBRATION, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSSGISAD, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSSASSET, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSSLOC, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSSORG, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSSSR, SD, NOACCESS, READSAVE, FULLACCESS
  PLUSSWOTRK, WO, NOACCESS, READSAVE, FULLACCESS
  PLUSSSRVAD, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSSMNGR, SETUP, NOACCESS, READONLY, FULLACCESS
  MAPS, -, NOACCESS, READONLY, FULLACCESS
  PLUSAMPD, PM, NOACCESS, READSAVE, FULLACCESS
  PLUSAOMP, PM, NOACCESS, READSAVE, FULLACCESS
  PLUSMRECPT, PURCHASE, NOACCESS, READONLY, FULLACCESS
  PLUSMSHIP, INVENTOR, NOACCESS, READSAVE, FULLACCESS
  PLUSMACASS, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSMEO, PLUSMEO, NOACCESS, READSAVE, FULLACCESS
  PLUSMJBCAR, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSMMROLC, ASSET, NOACCESS, READSAVE, FULLACCESS
  PLUSMMTCAR, PM, NOACCESS, READONLY, FULLACCESS
  PLUSMTCARD, PM, NOACCESS, READSAVE, FULLACCESS
  RELENGINEER, -, NOACCESS, NOACCESS, FULLACCESS
  PLUSGAP, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGCRF, SETUP, NOACCESS, READONLY, FULLACCESS
  PLUSGLKBOX, PLANS, NOACCESS, READSAVE, FULLACCESS
  PLUSGTRAIN, SETUP, NOACCESS, READSAVE, FULLACCESS
  PLUSGTRAMOD, SETUP, NOACCESS, READONLY, FULLACCESS
  GRESOURCE, SCHEDULER, NOACCESS, READONLY, FULLACCESS
  GWORKASSIGN, SCHEDULER, NOACCESS, READONLY, FULLACCESS
  PUSHNOTIFICATION, SETUP, NOACCESS, READONLY, FULLACCESS
FetchAll: 466 rows fetched.
> 
