IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT LICENSENUM, APPNAME, ACCESSLEVEL, MODULE, MAXPRODID FROM MAXLICAPPS;
  O&G_LIMITED, INVUSAGE, READSAVE, INVENTOR, MAXIMO
  O&G_LIMITED, INVOKE, READONLY, INT, MAXIMO
  O&G_LIMITED, INVOICE, READSAVE, PURCHASE, MAXIMO
  O&G_LIMITED, ITEM, READSAVE, INVENTOR, MAXIMO
  O&G_LIMITED, JOBPLAN, READSAVE, PLANS, MAXIMO
  O&G_LIMITED, LABOR, READSAVE, SETUP, MAXIMO
  O&G_LIMITED, CONTLABOR, READSAVE, CONTRACT, MAXIMO
  O&G_LIMITED, LABREP, FULLACCESS, WO, MAXIMO
  O&G_LIMITED, LAUNCH, READONLY, INT, MAXIMO
  O&G_LIMITED, CONTLEASE, READSAVE, CONTRACT, MAXIMO
  O&G_LIMITED, LOCATION, READSAVE, ASSET, MAXIMO
  O&G_LIMITED, TAGLOCKS, READONLY, PLANS, MAXIMO
  O&G_LIMITED, LMO, READONLY, INT, MAXIMO
  O&G_LIMITED, MANAGEINT, READONLY, INT, MAXIMO
  O&G_LIMITED, CONTMASTER, READSAVE, CONTRACT, MAXIMO
  O&G_LIMITED, MASTERPM, READONLY, PM, MAXIMO
  O&G_LIMITED, INTERROR, READONLY, INT, MAXIMO
  O&G_LIMITED, INTMSGTRK, READONLY, INT, MAXIMO
  O&G_LIMITED, METERGRP, READONLY, ASSET, MAXIMO
  O&G_LIMITED, METER, READONLY, ASSET, MAXIMO
  O&G_LIMITED, DEPLGROUPS, READONLY, UTIL, MAXIMO
  O&G_LIMITED, DM, READONLY, UTIL, MAXIMO
  O&G_LIMITED, DEPLCOLLS, READONLY, UTIL, MAXIMO
  O&G_LIMITED, PRECAUTN, READONLY, PLANS, MAXIMO
  O&G_LIMITED, PM, READSAVE, PM, MAXIMO
  O&G_LIMITED, PUBLISH, READONLY, INT, MAXIMO
  O&G_LIMITED, CONTPURCH, READSAVE, CONTRACT, MAXIMO
  O&G_LIMITED, PO, READSAVE, PURCHASE, MAXIMO
  O&G_LIMITED, PR, READSAVE, PURCHASE, MAXIMO
  O&G_AUTHORIZED, PLUSGINV, FULLACCESS, PLUSGSD, OILGAS
  O&G_AUTHORIZED, PLUSGCFW, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, RELEASE, NOACCESS, RELEASE, OILGAS
  O&G_AUTHORIZED, CHANGE, NOACCESS, CHANGE, OILGAS
  O&G_AUTHORIZED, PLUSGVWINC, FULLACCESS, SSDR, OILGAS
  O&G_AUTHORIZED, PLUSGTKTMP, FULLACCESS, PLUSGSD, OILGAS
  O&G_AUTHORIZED, PLUSGLPROF, FULLACCESS, ASSET, OILGAS
  O&G_AUTHORIZED, PLUSGPREC, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGQUAL, FULLACCESS, SETUP, OILGAS
  O&G_AUTHORIZED, PLUSGOPTSK, FULLACCESS, PLUSGOP, OILGAS
  O&G_AUTHORIZED, PLUSGPROC, FULLACCESS, PLUSGOP, OILGAS
  O&G_AUTHORIZED, PLUSGHAZ, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGRSK, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGCON, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGSOL, FULLACCESS, PLUSGSD, OILGAS
  O&G_AUTHORIZED, PLUSGPRS, FULLACCESS, SETUP, OILGAS
  O&G_AUTHORIZED, PLUSGLOC, FULLACCESS, ASSET, OILGAS
  O&G_AUTHORIZED, PLUSGASS, FULLACCESS, ASSET, OILGAS
  O&G_AUTHORIZED, PLUSGMCR, FULLACCESS, PLUSGCHG, OILGAS
  O&G_AUTHORIZED, PLUSGCRINC, FULLACCESS, SSDR, OILGAS
  O&G_AUTHORIZED, PLUSGISO, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGBYP, FULLACCESS, PLUSGOP, OILGAS
  O&G_AUTHORIZED, PLUSGAUDIT, FULLACCESS, PLUSGSD, OILGAS
  O&G_AUTHORIZED, PLUSGPTW, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGPO, FULLACCESS, PURCHASE, OILGAS
  O&G_AUTHORIZED, PLUSGRLOG, FULLACCESS, PLUSGOP, OILGAS
  O&G_AUTHORIZED, PLUSGDRL, FULLACCESS, WO, OILGAS
  O&G_AUTHORIZED, PLUSGSTAG, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGLOG, FULLACCESS, PLUSGOP, OILGAS
  O&G_AUTHORIZED, PLUSGWO, FULLACCESS, WO, OILGAS
  O&G_AUTHORIZED, PLUSGQRP, FULLACCESS, WO, OILGAS
  O&G_AUTHORIZED, PLUSGORG, FULLACCESS, SETUP, OILGAS
  O&G_AUTHORIZED, PLUSGINC, FULLACCESS, PLUSGSD, OILGAS
  O&G_AUTHORIZED, PLUSGMOC, FULLACCESS, PLUSGCHG, OILGAS
  O&G_AUTHORIZED, PLUSGREG, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGDEF, FULLACCESS, PLUSGSD, OILGAS
  O&G_AUTHORIZED, INCIDENT, NOACCESS, SD, OILGAS
  O&G_AUTHORIZED, PLUSGOPACT, FULLACCESS, PLUSGOP, OILGAS
  O&G_AUTHORIZED, PLUSGLOGBK, FULLACCESS, PLUSGOP, OILGAS
  O&G_AUTHORIZED, PLUSGCERT, FULLACCESS, PLUSGSD, OILGAS
  O&G_AUTHORIZED, PLUSGTGLCK, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGPR, FULLACCESS, PURCHASE, OILGAS
  O&G_AUTHORIZED, PLUSGITEM, FULLACCESS, INVENTOR, OILGAS
  O&G_AUTHORIZED, PLUSGPOL, FULLACCESS, PLUSGOP, OILGAS
  O&G_AUTHORIZED, PLUSGSR, FULLACCESS, PLUSGSD, OILGAS
  O&G_AUTHORIZED, PLUSGPCT, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGSTA, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGROU, FULLACCESS, PLANS, OILGAS
  O&G_AUTHORIZED, PLUSGPM, FULLACCESS, PM, OILGAS
