ENVIRONMENT,LICENSENUM,APPNAME,ACCESSLEVEL,MODULE,MAXPRODID
BASE,OCY_EXPRESSCUR,COMPANY,READONLY,PURCHASE,MAXIMO
BASE,OCY_EXPRESSCUR,COMPMASTER,READONLY,PURCHASE,MAXIMO
BASE,OCY_EXPRESSCUR,CONDCODE,READSAVE,INVENTOR,MAXIMO
BASE,OCY_EXPRESSCUR,COND,READONLY,ASSET,MAXIMO
BASE,OCY_EXPRESSCUR,CONDEXPMGR,READSAVE,SETUP,MAXIMO
BASE,OCY_EXPRESSCUR,FINCNTRL,READONLY,FINANCIAL,MAXIMO
BASE,OCY_EXPRESSCUR,CREATEINT,READONLY,INT,MAXIMO
BASE,OCY_EXPRESSCUR,CRAFT,READONLY,SETUP,MAXIMO
BASE,OCY_EXPRESSCUR,CREATEDR,FULLACCESS,SSDR,MAXIMO
BASE,O&G_AUTHORIZED,DM,FULLACCESS,UTIL,MAXIMO
BASE,O&G_AUTHORIZED,DEPLCOLLS,FULLACCESS,UTIL,MAXIMO
BASE,O&G_AUTHORIZED,PRECAUTN,FULLACCESS,PLANS,MAXIMO
BASE,O&G_AUTHORIZED,PM,FULLACCESS,PM,MAXIMO
BASE,O&G_AUTHORIZED,PUBLISH,FULLACCESS,INT,MAXIMO
BASE,O&G_AUTHORIZED,CONTPURCH,FULLACCESS,CONTRACT,MAXIMO
BASE,O&G_AUTHORIZED,PO,FULLACCESS,PURCHASE,MAXIMO
BASE,O&G_AUTHORIZED,PR,FULLACCESS,PURCHASE,MAXIMO
BASE,O&G_AUTHORIZED,QUAL,FULLACCESS,SETUP,MAXIMO
BASE,O&G_AUTHORIZED,QUICKREP,FULLACCESS,WO,MAXIMO
BASE,O&G_AUTHORIZED,RECEIPTS,FULLACCESS,PURCHASE,MAXIMO
BASE,O&G_AUTHORIZED,RELATION,FULLACCESS,ASSET,MAXIMO
BASE,O&G_AUTHORIZED,RPTOUTPUT,FULLACCESS,ANALYTICS,MAXIMO
BASE,O&G_AUTHORIZED,RFQ,FULLACCESS,PURCHASE,MAXIMO
BASE,O&G_AUTHORIZED,ROUTES,FULLACCESS,PLANS,MAXIMO
BASE,O&G_AUTHORIZED,SAFEPLAN,FULLACCESS,PLANS,MAXIMO
BASE,O&G_AUTHORIZED,ECOMMADAPT,FULLACCESS,-,MAXIMO
BASE,O&G_AUTHORIZED,SRVCOMMOD,FULLACCESS,SLA,MAXIMO
