ENVIRONMENT,USERID,STATUS,CHANGEDATE,MEMO,CHANGEBY
BASE,AGATHAALVARENGA,ACTIVE,2021-10-15-14.44.57.000000,,ITEAM
BASE,AGATHAALVARENGA,INACTIVE,2021-10-15-14.48.40.000000,,ITEAM
BASE,AGATHAALVARENGA,ACTIVE,2021-10-19-09.24.32.000000,,ITEAM
BASE,AGATHAALVARENGA,INACTIVE,2021-10-19-09.27.00.000000,,ITEAM
BASE,AGATHAALVARENGA,ACTIVE,2021-10-19-09.30.30.000000,,ITEAM
BASE,AGATHAALVARENGA,INACTIVE,2021-10-19-09.33.47.000000,,ITEAM
BASE,AGATHAALVARENGA,ACTIVE,2021-10-19-11.19.25.000000,,ITEAM
BASE,AGATHAALVARENGA,INACTIVE,2021-10-19-11.21.03.000000,,ITEAM
BASE,AGATHAALVARENGA,ACTIVE,2021-10-19-11.48.00.000000,,ITEAM
BASE,AGATHAALVARENGA,INACTIVE,2021-10-19-11.50.08.000000,,ITEAM
BASE,ALANBARROSO,ACTIVE,2018-04-10-08.30.16.000000,,JULINECAETANO
BASE,ALANBARROSO,INACTIVE,2019-01-25-09.54.20.000000,Inativando usuarios que não acessaram os últimos 6 meses,MAXADOOG
BASE,ALANESILVA,ACTIVE,2022-05-04-13.34.43.000000,,ITEAM
BASE,ALANESILVA,INACTIVE,2023-02-01-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALANOSILVA,ACTIVE,2021-02-18-18.23.59.000000,,MAXADOOG
BASE,ALANOSILVA,INACTIVE,2021-03-01-19.55.54.000000,Usuarios com acesso normalizado na ODN1,MAXADOOG
BASE,ALANSILVA,ACTIVE,2021-02-19-15.52.34.000000,,MAXADOOG
BASE,ALANSILVA,INACTIVE,2021-03-01-19.52.37.000000,Usuarios ODN1 com acesso normalizado na sonda,MAXADOOG
BASE,ALANSILVA,ACTIVE,2022-09-15-09.43.36.000000,,HELPDESK
BASE,ALANSILVA,INACTIVE,2022-09-16-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALASDAIRKELMAN,ACTIVE,2014-04-09-17.21.49.000000,,MAXADMIN
BASE,ALASDAIRKELMAN,INACTIVE,2016-11-30-17.41.18.000000,Desativando usuarios que não logaram em 2016. Atualização do sistema.,MAXADOOG
BASE,ALASDAIRKELMAN,ACTIVE,2017-03-23-19.00.57.000000,,MAXADOOG
BASE,ALASDAIRKELMAN,BLOCKED,2017-06-19-13.21.03.000000,,MAXADMIN
BASE,ALASDAIRKELMAN,ACTIVE,2017-07-18-08.09.01.000000,IR131149,MAXADOOG
BASE,ALASDAIRKELMAN,INACTIVE,2018-06-08-12.50.16.000000,Ticket#010847,MAXADMIN
BASE,ALECURY,ACTIVE,2022-04-19-16.59.11.000000,,ITEAM
BASE,ALECURY,INACTIVE,2022-05-04-13.10.51.000000,Ticket#0237400 — Inativar usuario duplicado - Abra,ITEAM
BASE,ALECURY,ACTIVE,2022-06-01-13.05.25.000000,Ticket#0241219 — Impossibilidade de acesso,ITEAM
BASE,ALECURY,INACTIVE,2022-06-01-13.17.44.000000,,ITEAM
BASE,ALEILTONMEIRELES,ACTIVE,2025-03-12-09.46.21.000000,,ITEAM
BASE,ALEILTONMEIRELES,INACTIVE,2025-05-02-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEILTONMEIRELES,ACTIVE,2025-08-31-18.51.47.000000,Ticket#2025083129000112,HELPDESK
BASE,ALEILTONMEIRELES,INACTIVE,2025-10-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEKSANDROMAICK,ACTIVE,2015-07-20-10.55.12.000000,,MAXADMIN
BASE,ALEKSANDROMAICK,BLOCKED,2018-04-04-16.24.10.000000,,MAXADMIN
BASE,ALEKSANDROMAICK,ACTIVE,2018-04-05-10.12.00.000000,,MAXADMIN
BASE,ALEKSANDROMAICK,INACTIVE,2020-01-03-22.28.49.000000,,MAXADOOG
BASE,ALEKSANDROMAICK_PLSV,ACTIVE,2018-04-05-14.29.32.000000,,MAXADMIN
BASE,ALEKSANDROMAICK_PLSV,INACTIVE,2019-05-17-07.36.20.000000,Integrante foi para FPSO,MAXADOOG
BASE,ALESSANDROCORREA,ACTIVE,2023-04-28-15.42.39.000000,,ITEAM
BASE,ALESSANDROCORREA,INACTIVE,2023-06-18-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALESSANDROPASINI,ACTIVE,2013-12-04-18.58.22.000000,,MAXADMIN
BASE,ALESSANDROPASINI,BLOCKED,2016-04-08-12.08.27.000000,,MAXADMIN
BASE,ALESSANDROPASINI,ACTIVE,2016-04-26-09.32.24.000000,,ENIOSANTOS
BASE,ALESSANDROPASINI,INACTIVE,2020-01-21-13.29.39.000000,,MAXADOOG
BASE,ALESSANDROPASINI,ACTIVE,2021-02-18-16.19.55.000000,,ITEAM
BASE,ALESSANDROPASINI,INACTIVE,2021-03-01-19.52.37.000000,Usuarios ODN1 com acesso normalizado na sonda,MAXADOOG
BASE,ALESSANDROPASINI,ACTIVE,2022-10-03-17.39.31.000000,,MAXADOOG
BASE,ALESSANDROPASINI,INACTIVE,2022-10-04-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALESSANDROPASINI,ACTIVE,2022-10-10-10.01.59.000000,,MAXADOOG
BASE,ALESSANDROPASINI,INACTIVE,2023-08-27-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALESSANDROPASINI,ACTIVE,2023-10-04-07.48.59.000000,,HELPDESK
BASE,ALESSANDROPASINI,INACTIVE,2024-03-29-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALESSANDROPASINI,ACTIVE,2024-04-05-08.48.10.000000,348875,HELPDESK
BASE,ALESSANDROPASINI,INACTIVE,2024-10-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALESSANDROPASINI,ACTIVE,2025-01-06-16.41.16.000000,Ticket#2025010629000691 — Reset Senha Máximo,HELPDESK
BASE,ALESSANDROPASINI,INACTIVE,2025-02-26-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALESSANDROPASINI,ACTIVE,2025-09-03-18.56.48.000000,2025090329000833,HELPDESK
BASE,ALESSANDROPASINI,INACTIVE,2025-10-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALESSANDROPASINI,ACTIVE,2025-11-04-08.17.29.000000,Ticket#2025110329001113,HELPDESK
BASE,ALESSANDROPASINI,INACTIVE,2026-03-25-09.00.01.052000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALESSANDROPASINI,INACTIVE,2026-03-26-07.30.00.584000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALESSANDROSANTOS,ACTIVE,2015-05-15-15.56.02.000000,,MAXADMIN
BASE,ALESSANDROSANTOS,INACTIVE,2020-01-21-13.36.51.000000,Inativando usuarios PLSV,MAXADOOG
BASE,ALESSANDROTINOCO,ACTIVE,2016-07-20-15.06.59.000000,,ENIOSANTOS
BASE,ALESSANDROTINOCO,INACTIVE,2016-11-30-14.21.16.000000,Desativando usuarios que não logaram em 2016 no sistema,MAXADOOG
BASE,ALESSANDROTINOCO,ACTIVE,2016-11-30-15.11.52.000000,,MAXADOOG
BASE,ALESSANDROTINOCO,BLOCKED,2017-01-06-15.33.49.000000,,MAXADMIN
BASE,ALESSANDROTINOCO,ACTIVE,2018-09-26-14.31.24.000000,,MAXADMIN
BASE,ALESSANDROTINOCO,INACTIVE,2021-01-14-15.10.43.000000,Ticket#0183051 — Emissão de Rescisão Contratual,ITEAM
BASE,ALEXANDERRIBEIRO,ACTIVE,2021-01-08-15.53.53.000000,,MAXADOOG
BASE,ALEXANDERRIBEIRO,INACTIVE,2021-06-11-15.47.52.000000,,MAXADOOG
BASE,ALEXANDREANDRADE,ACTIVE,2017-09-18-09.57.14.000000,,MAXADOOG
BASE,ALEXANDREANDRADE,INACTIVE,2021-02-26-11.58.51.000000,Usuarios sem acessar o sistema ha mais de tres meses,MAXADOOG
BASE,ALEXANDREANDRADE,ACTIVE,2021-03-08-09.10.14.000000,Ticket#0189781 — Acesso ao Máximo,ITEAM
BASE,ALEXANDREANDRADE,INACTIVE,2022-02-16-05.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREANDRADE,ACTIVE,2022-02-23-09.21.08.000000,0230080 — Acesso ao Sistema Máximo,ITEAM
BASE,ALEXANDREANDRADE,INACTIVE,2022-05-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREANDRADE,ACTIVE,2022-05-25-17.27.58.000000,Ticket#0240152 — Acesso ao Sistema Máximo,ITEAM
BASE,ALEXANDREANDRADE,INACTIVE,2022-07-16-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREANDRADE,ACTIVE,2022-07-29-10.57.19.000000,Ticket#0250236 — Acesso ao Sistema Máximo,ITEAM
BASE,ALEXANDREANDRADE,INACTIVE,2024-02-07-05.00.09.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREANDRADE,ACTIVE,2024-02-28-16.31.55.000000,0343407,HELPDESK
BASE,ALEXANDREANDRADE,INACTIVE,2024-07-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDREBARBOSA,ACTIVE,2015-04-10-14.51.21.000000,,MAXADMIN
BASE,ALEXANDREBARBOSA,INACTIVE,2015-08-10-18.26.16.000000,,MAXADMIN
BASE,ALEXANDREBARBOSA,ACTIVE,2016-11-30-15.11.52.000000,,MAXADOOG
