ENVIRONMENT,PERSONGROUP,DESCRIPTION,ISCREWWORKGROUP,OOG_DEPARTMENT,OOG_USEINMOC,OOG_ISTOPSIDE
BASE,PIMON,Planejamento Estratégico & Inteligência de Mercado / Strategic Planning & Market Intelligence,0,0,1,-
BASE,OOG_COOD,Person Group of Additional Service Coordinators,0,0,0,-
BASE,CONF,Confiabilidade Aplicada,0,1,0,-
BASE,OOG_MEET,Group for Planning and Simultaneity Meeting,0,0,0,-
BASE,MOB_BAUN,Person group for Mobile - BASE-UNP,0,0,0,-
BASE,MOB_HTQ,Person group for Mobile - HTQ,0,0,0,-
BASE,MOB_ODN4,Person group for Mobile - ODN4,0,0,0,-
BASE,MOB_ODN1,Person group for Mobile - ODN1,0,0,0,-
BASE,MOB_OPBA,Person group for Mobile - OP-BASE,0,0,0,-
BASE,MOB_ODN2,Person group for Mobile - ODN2,0,0,0,-
BASE,MOB_N08,Person group for Mobile - N08,0,0,0,-
BASE,MOB_N09,Person group for Mobile - N09,0,0,0,-
BASE,MOB_N06,Person group for Mobile - N06,0,0,0,-
BASE,MOB_ODN3,Person group for Mobile - ODN3,0,0,0,-
BASE,MOB_POL,For site POL,0,0,0,-
BASE,MOB_PGA,For site PGA,0,0,0,-
BASE,MOB_PGB,For site PGB,0,0,0,-
BASE,OOG_DCSD,Drilling CSD Person Group,0,0,0,-
BASE,OOG_MCSD,Marine CSD Person Group,0,0,0,-
BASE,OOG_NR13,NR13 Speciality Offshore,0,0,0,-
BASE,OOG_SUBS,Subsea Coordination Person Group,0,0,0,-
BASE,OOG_MOCO,Person group contaning people that can create MOC O&F records,0,0,0,-
BASE,OOG_COEQ,Equipment Coordination Team,0,0,0,-
BASE,P&O,P&O,0,0,0,-
BASE,OOG_SUDI,Department for the Superintendent Director,0,0,0,-
BASE,OOG_RIGM,Rig Managers,0,0,0,-
BASE,OOG_COND,Contract Director,0,0,0,-
BASE,OOG_OIM,Department for OIM/Captain,0,0,0,-
BASE,MOC_AAPR,Análise de risco e Aprovação da MOC,0,0,0,-
BASE,MAINTENA,-,0,1,0,-
BASE,MATERIAL,Material,0,1,0,-
BASE,ELECTRIC,Electrical,0,1,0,-
BASE,TUBOFF,Tubulação/Piping,0,0,1,-
BASE,PROOFF,Processo / Process,0,0,1,1
BASE,ESTOFF,Estrutura / Structure,0,0,1,1
BASE,VACOFF,HVAC (Condicionador de Ar de Ventilação de Aquecimento - Heating Ventilation Air Conditioner),0,0,1,1
BASE,NR-13,NR-13,0,0,1,-
BASE,HSEOFF,Sustentabilidade HSE / Sustainability HSE,0,0,1,-
BASE,HOSOFF,Sustentabilidade Hospital / Sustainability Hospital,0,0,1,-
BASE,RADOFF,Marinha Radio,0,0,1,-
BASE,OOG_RIGS,RIG Superintendentes Aprovadores,0,0,0,-
BASE,OOG_SQP,SQP Person Group to send WOREF communications revisions,0,0,0,-
BASE,OOG_MACR,Group people to macrostructre,0,0,0,-
BASE,QUAENG,Quality Engineer,0,0,0,-
BASE,CSDON,Centro de Suporte a Decisão e Controle de Poço / Decision Support Center and Well Control,0,0,1,-
BASE,ASSETENG,Asset/Planning Engineer,0,1,0,-
BASE,OOG_AC,Asset Coordinator Person Group,0,0,0,-
BASE,OOG_EC,Engineering Coordinator person group,0,0,0,-
BASE,OOG_PJEN,Person group for all the project engineers,0,0,0,-
BASE,OOG_MPO,MOC People Openers,0,0,0,-
BASE,DDNON,Desenvolvimento de Negócios / Business Development,0,0,1,-
BASE,T&D,T&D,0,0,0,-
BASE,OOG_ARM,Assistant Rig Manager / Rig Coordinator,0,0,0,-
BASE,PROON,Processo / Process Onshore,0,0,1,-
BASE,ESTON,Estrutura / Stucture Onshore,0,0,1,-
BASE,MANON,Manutenção /Maintenance Onshore,0,0,1,-
BASE,HSEON,Sustentabilidade / Sustainability Onshore.,0,0,1,-
BASE,SST_ANALYS,Person Group of persons to preliminary applicability analysis in Alert & Bulletins SST,0,0,0,-
BASE,SST_SUSTEN,Group with sustentability persons,0,0,0,-
BASE,OOG_QA_RSK,Quality Assurance used in initial approval from Risk Assessment,0,0,0,-
BASE,FetchAll:,155,rows,fetched.,,
BASE,>,,,,,
HTQ,MOB_BAUN,Person group for Mobile - BASE-UNP,0,0,0,-
HTQ,ROV,ROV,0,1,0,-
HTQ,ET,ET,0,1,0,-
HTQ,OOG_MACO,Materials Coordinators,0,0,0,-
HTQ,HSE,HSE - Safety,0,1,0,-
HTQ,RADIO,Radio,0,1,0,-
HTQ,SUBSEA,Subsea,0,1,0,-
HTQ,ENGINEER,Engineering,0,1,0,-
HTQ,MARINE,Marine,0,1,0,-
HTQ,ELECTRIC,Electrical,0,1,0,-
HTQ,MAINTENA,-,0,1,0,-
HTQ,MATERIAL,Material,0,1,0,-
HTQ,OOG_MNCO,Maintenance Coordinators,0,0,0,-
HTQ,OOG_AMGR,Asset Managers,0,0,0,-
HTQ,DRILLING,DRILLING,0,1,0,-
HTQ,HOSPITAL,Hospital,0,1,0,-
HTQ,MCHNIC,Mechanical,0,1,0,-
HTQ,OOG_DCSD,Drilling CSD Person Group,0,0,0,-
HTQ,OOG_MCSD,Marine CSD Person Group,0,0,0,-
HTQ,OOG_NR13,NR13 Speciality Offshore,0,0,0,-
HTQ,OOG_SUBS,Subsea Coordination Person Group,0,0,0,-
HTQ,OOG_PRWF,Group of people notified when cancelling some PR,0,0,0,-
HTQ,OOG_MPO,MOC People Openers,0,0,0,-
HTQ,OOG_AENG,Asset Engineers,0,0,0,-
HTQ,OOG_MOCO,Person group contaning people that can create MOC O&F records,0,0,0,-
HTQ,OOG_ASMG,Asset Manager Approval Group - MOCs Only,0,0,0,-
HTQ,OOG_AC,Asset Coordinator Person Group,0,0,0,-
HTQ,OOG_EC,Engineering Coordinator person group,0,0,0,-
HTQ,OOG_PJEN,Person group for all the project engineers,0,0,0,-
HTQ,OOG_DEPT,Person group of deputy people,0,0,0,-
HTQ,RELIABIL,Realibility Department to Engineers from the Base,0,1,0,-
HTQ,TUBOFF,Tubulação/Piping,0,0,1,-
HTQ,OOG_COEQ,Equipment Coordination Team,0,0,0,-
HTQ,PROOFF,Processo / Process,0,0,1,1
HTQ,ESTOFF,Estrutura / Structure,0,0,1,1
HTQ,VACOFF,HVAC (Condicionador de Ar de Ventilação de Aquecimento - Heating Ventilation Air Conditioner),0,0,1,1
HTQ,NR-13,NR-13,0,0,1,-
HTQ,HSEOFF,Sustentabilidade HSE / Sustainability HSE,0,0,1,-
HTQ,HOSOFF,Sustentabilidade Hospital / Sustainability Hospital,0,0,1,-
HTQ,RADOFF,Marinha Radio,0,0,1,-
HTQ,ATVON,Gestão de Ativos / Asset Management,0,0,1,-
HTQ,TDION,Tecnologia da Informação / Information Tecnology Onshore,0,0,1,-
HTQ,ELEOFF,Eletroeletrônica / Electro Electronic,0,0,1,-
HTQ,MAQOFF,Máquinas / Engineering,0,0,1,1
HTQ,NAUOFF,Marinha / Marine,0,0,1,-
HTQ,DRLOFF,Perfuração / Drilling,0,0,1,-
HTQ,QUAON,Garantia da Qualidade / Quality Assurance  Onshore,0,0,1,-
HTQ,OPRON,Operação / Operation Onshore,0,0,1,-
HTQ,MANOFF,Manutenção / Maintenance,0,0,1,1
HTQ,MATOFF,Materiais / Materials,0,0,1,1
