ENVIRONMENT,GROUPNAME,DESCRIPTION,INDEPENDENT,AUTHALLSITES,AUTHALLGLS,AUTHALLSTOREROOMS,AUTHLABORALL,AUTHLABORCREW,AUTHLABORSELF,AUTHLABORSUPER,AUTHPERSONGROUP,DFLTAPP,WORKCENTER
BASE,MOBILE,Security Group for Mobile,0,0,0,0,0,0,0,0,0,-,-
BASE,OOG_ASSET_COORDINATOR,Asset Coordinator Group,0,0,1,0,0,0,0,0,0,-,-
BASE,OOG_ENGINEER_COORDINATOR,Engineers Coordinators Group,0,0,1,0,0,0,0,0,0,-,-
BASE,OOG_MATERIAL_ENGINEER,Materials Engineer,0,0,0,0,1,0,0,0,0,-,-
BASE,OOG_SUP_REPAIR_RETURN,Supervisor Repair and Return,0,0,0,0,1,0,0,0,0,-,-
BASE,OOG_DEFSITE_DATA_RESTRICTIONS,Default site data restrictions,0,0,0,0,0,0,0,0,0,-,-
BASE,OOG_ALL_DRILLING,All DRILLING sites.,0,0,0,1,0,0,0,0,0,-,-
BASE,OOG_INSPECTORSUP,Inspector supervisor group OOG,0,0,0,0,0,0,0,0,0,-,-
BASE,OOG_QUALIFIED_PROFESSIONAL,Qualified Professional - SPIE,0,0,1,0,1,0,0,0,0,-,-
BASE,OOG_SQP_QUALITY,SQP Quality Department,0,0,0,0,0,0,0,0,0,-,-
BASE,OOG_SQP_OPENERS,SQP Openers,0,0,0,0,0,0,0,0,0,-,-
BASE,OOG_RIGSUPSQP,Rig Superintendent SQP,0,0,0,0,0,0,0,0,0,-,-
BASE,OOG_MOC_MACRO,MOC para MACROESTRUTURA,0,1,0,0,0,0,0,0,0,-,-
BASE,OOG_MACRO_ACTIONS,Atualizacao de acoes em  MACROESTRUTURA,0,1,0,0,0,0,0,0,0,-,-
BASE,OOG_MATERIALS_COORDINATOR,Materials Coordinator,0,1,1,1,0,0,0,0,0,-,-
BASE,OOG_PROJECT_ENGINEER,Project Engineers Group,0,0,1,0,1,0,0,0,0,-,-
BASE,PRIO_MATERIALS_COORDINATOR,Prio Materials Coordinator,0,0,1,0,0,0,0,0,0,-,-
BASE,PRIO_REGISTER,PRIO Item Registration,0,0,0,0,1,0,0,0,0,-,-
BASE,PRIO_USERS,Prio Users,0,0,0,1,0,0,0,0,0,-,-
BASE,OOG_AB_SST,Grupo de seguran�a para acesso a aplica��o Alert & Bulletins SST,0,0,0,0,0,0,0,0,0,-,-
BASE,FetchAll:,79,rows,fetched.,,,,,,,,,
BASE,>,,,,,,,,,,,,
HTQ,MAXREADONLYSPPT,Maximo Read Only Access for Support,0,1,1,1,1,0,0,0,0,-,-
HTQ,OOG_RIGMGR,Rig Manager,0,0,0,0,0,0,0,0,0,-,-
HTQ,OOG_BASE_READ_ONLY,Base Read Only,0,1,0,0,0,0,0,0,0,-,-
HTQ,MAXADMIN,Maximo Administrators (Super Users),1,1,1,1,1,0,0,0,0,-,-
HTQ,MAXREG,Self Registration Process Access,1,0,0,0,0,0,0,0,0,-,-
HTQ,MAXDEFLTREG,New User,0,0,0,0,0,0,0,0,0,-,-
HTQ,MAXEVERYONE,All Maximo Users,0,0,1,0,0,0,0,0,0,-,-
HTQ,OOG_ASSET_MANAGER,Asset Manager,0,0,0,0,1,0,0,0,0,-,-
HTQ,OOG_OPMGR,Operation Manager,0,0,0,0,0,0,0,0,0,-,-
HTQ,OOG_MAINTENANCE_COORDINATOR,Maintenance Coordinator,0,0,1,0,1,0,0,0,0,-,-
HTQ,OOG_MATERIALS_COORDINATOR,Materials Coordinator,0,0,1,0,0,0,0,0,0,-,-
HTQ,OOG_DEFSITE_DATA_RESTRICTIONS,Default site data restrictions,0,0,0,0,0,0,0,0,0,-,-
HTQ,PLSV_CA,PLSV CA Site,0,0,0,1,0,0,0,0,0,-,-
HTQ,OOG_HELPDESK,Help desk group,1,0,0,0,0,0,0,0,0,-,-
HTQ,OOG_ASSIST_RIGMGR,Assistant Rig Manager,0,0,0,0,0,0,0,0,0,-,-
HTQ,OOG_FIELD_SUPPORT,Field Support,0,0,0,0,0,0,0,0,0,-,-
HTQ,OOG_MAXIMO_COORDINATOR,Maximo Coordinator,0,0,0,0,1,0,0,0,0,-,-
HTQ,OOG_ALLSITES,All Sites Security Group,0,0,0,1,0,0,0,0,0,-,-
HTQ,OOG_DEPARTMENT_LEADER,Department Leader,0,0,0,0,1,0,0,0,0,-,-
HTQ,OOG_MAINTENANCE_LEADER,Maintenance Leader,0,0,0,0,0,0,0,0,0,-,-
HTQ,PLSV_DEPUTY_PROJECT_MANAGER,Deputy Project Manager,0,0,0,0,0,0,0,0,0,-,-
HTQ,OOG_ALL_PERF,All sites exclude PLSV sites.,0,0,0,1,0,0,0,0,0,-,-
HTQ,PLSV_TECHNICIAN,Technician,0,0,0,0,1,0,0,0,0,-,-
HTQ,OOG_PR_CREATOR,Group to allow users creating and approving PR's,0,0,0,0,0,0,0,0,0,-,-
HTQ,PLSV_EXCLUSIVE_ACCESS,Access to applications and Start Center only for PLSV users,0,0,0,0,0,0,0,0,0,-,-
