ENVIRONMENT,USERID,PERSONID,STATUS,TYPE,DEFSITE,LOGINID,MAXUSERID
BASE,EDUARDOBOSCO,EDUARDOBOSCO,ACTIVE,TYPE 2,BASE-UNP,eduardobosco,1966
BASE,GLIBMYKH,GLIBMYKH,ACTIVE,TYPE 1,PGC,glibmykh,1967
BASE,ANISULLECORDEIR,ANISULLECORDEIR,ACTIVE,TYPE 1,BASE-UNP,anisullecordeir,1968
HTQ,(C) COPYRIGHT International Business Machines Corp. 1993,1996,,,,,
HTQ,US Government Users Restricted Rights - Use,duplication or,,,,,
HTQ,LUCASVICENTE,LUCASVICENTE,INACTIVE,TYPE 1,HTQ,lucasvicente,1229
HTQ,PATRICKJOSE,PATRICKJOSE,INACTIVE,TYPE 1,HTQ,patrickjose,1234
HTQ,DARIUSZWROBLEWSKI,DARIUSZWROBLEWSKI,INACTIVE,TYPE 1,HTQ,dariuszwroblewski,1266
HTQ,MAZENELNAWASRA,MAZENELNAWASRA,INACTIVE,TYPE 1,HTQ,mazenelnawasra,1268
HTQ,BRUNOSOARES,BRUNOSOARES,INACTIVE,TYPE 1,HTQ,brunosoares,1284
HTQ,CARLOSCAMPOS,CARLOSCAMPOS,ACTIVE,TYPE 1,HTQ,carloscampos,1286
HTQ,GEORGEMEDEIROS,GEORGEMEDEIROS,ACTIVE,TYPE 1,HTQ,georgemedeiros,1377
HTQ,DENYSILVA,DENYSILVA,ACTIVE,TYPE 3,HTQ,denysilva,1390
HTQ,LUCASMIRANDA,LUCASMIRANDA,INACTIVE,TYPE 3,HTQ,lucasmiranda,1394
HTQ,IEZIOSOUZA,IEZIOSOUZA,INACTIVE,TYPE 1,HTQ,ieziosouza,1419
HTQ,IVAIRFREITAS,IVAIRFREITAS,INACTIVE,TYPE 1,HTQ,ivairfreitas,1421
HTQ,MARCOSMAUMESSO,MARCOSMAUMESSO,INACTIVE,TYPE 1,HTQ,marcosmaumesso,1431
HTQ,ALEXPCABRAL,ALEXPCABRAL,INACTIVE,TYPE 1,HTQ,alexpcabral,1483
HTQ,JOAOBCOSTA,JOAOBCOSTA,DELETED,TYPE 1,HTQ,joaobcosta,1509
HTQ,LUCASATAIDE,LUCASATAIDE,INACTIVE,TYPE 1,HTQ,lucasataide,1549
HTQ,UEDERLAURINDO,UEDERLAURINDO,INACTIVE,TYPE 10,HTQ,uederlaurindo,1940
HTQ,CLAUDIOMARTINS,CLAUDIOMARTINS,INACTIVE,TYPE 1,HTQ,claudiomartins,1953
HTQ,HUGOSOARES,HUGOSOARES,INACTIVE,TYPE 10,HTQ,hugosoares,1981
HTQ,MILTONTABOSA,MILTONTABOSA,INACTIVE,TYPE 1,HTQ,miltontabosa,1674
HTQ,LEONARDOCUSINATO,LEONARDOCUSINATO,INACTIVE,TYPE 10,HTQ,leonardocusinato,1982
HTQ,FELIPECOELHO,FELIPECOELHO,INACTIVE,TYPE 10,HTQ,felipecoelho,1985
HTQ,FILIPEAGLIO,FILIPEAGLIO,INACTIVE,TYPE 1,HTQ,filipeaglio,1727
HTQ,EGENILTOFRANCA,EGENILTOFRANCA,INACTIVE,TYPE 10,HTQ,egeniltofranca,1996
HTQ,LEANDRORS,LEANDRORS,DELETED,TYPE 10,HTQ,leandrors,2002
HTQ,LEANSROSAREIS,LEANSROSAREIS,NEWREG,TYPE 10,HTQ,leansrosareis,2003
HTQ,WELINTONFERREIRA,WELINTONFERREIRA,ACTIVE,TYPE 10,HTQ,welintonferreira,2020
HTQ,PITERROCHA,PITERROCHA,ACTIVE,TYPE 10,HTQ,piterrocha,1752
HTQ,GERMANPAPINO,GERMANPAPINO,INACTIVE,TYPE 10,HTQ,germanpapino,2054
HTQ,MARCELLAARAUJO,MARCELLAARAUJO,DELETED,TYPE 1,HTQ,marcellaaraujo,1806
HTQ,WELLINGTONCEZARIO,WELLINGTONCEZARIO,INACTIVE,TYPE 10,HTQ,wellingtoncezario,2058
HTQ,PAULORODRIGO,PAULORODRIGO,INACTIVE,TYPE 10,HTQ,paulorodrigo,2069
HTQ,KAIOVIRGILIO,KAIOVIRGILIO,INACTIVE,TYPE 10,HTQ,kaiovirgilio,1815
HTQ,ANDRELIMA,ANDRELIMA,ACTIVE,TYPE 10,HTQ,andrelima,1822
HTQ,RODRIGOAUGUSTO,RODRIGOAUGUSTO,ACTIVE,TYPE 1,HTQ,rodrigoaugusto,1835
HTQ,MARIOVALDOSOUZA,MARIOVALDOSOUZA,INACTIVE,TYPE 10,HTQ,mariovaldosouza,2072
HTQ,JOSEAMAROALMEIDA,JOSEAMAROALMEIDA,ACTIVE,TYPE 10,HTQ,joseamaroalmeida,1867
HTQ,LEONARDOPEREIRA,LEONARDOPEREIRA,INACTIVE,TYPE 10,HTQ,leonardopereira,1868
HTQ,THIAGOBASTOS,THIAGOBASTOS,INACTIVE,TYPE 1,HTQ,thiagobastos,1876
HTQ,RODRIGOBARRETO,RODRIGOBARRETO,INACTIVE,TYPE 10,HTQ,rodrigobarreto,1879
HTQ,ANTONIOMARCOSMIRANDA,ANTONIOMARCOSMIRANDA,INACTIVE,TYPE 10,HTQ,antoniomarcosmiranda,1882
HTQ,TAMIRISANTONIO,TAMIRISANTONIO,INACTIVE,TYPE 10,HTQ,tamirisantonio,1888
HTQ,JOILSONGOMES,JOILSONGOMES,INACTIVE,TYPE 10,HTQ,joilsongomes,2075
HTQ,JOAOJUNIOR,JOAOJUNIOR,ACTIVE,TYPE 1,HTQ,joaojunior,1905
HTQ,HUDSONPONSIANO,HUDSONPONSIANO,INACTIVE,TYPE 10,HTQ,hudsonponsiano,1910
HTQ,WALLACEOLIVEIRA,WALLACEOLIVEIRA,INACTIVE,TYPE 10,HTQ,wallaceoliveira,1913
HTQ,ALLANMARQUES,ALLANMARQUES,INACTIVE,TYPE 1,HTQ,allanmarques,1915
HTQ,EDSONCELESTINO,EDSONCELESTINO,INACTIVE,TYPE 10,HTQ,edsoncelestino,1923
HTQ,MAXADMIN,MAXADMIN,ACTIVE,TYPE 1,HTQ,maxadmin,1
HTQ,MXINTADM,MXINTADM,ACTIVE,TYPE 1,OP-BASE,mxintadm,2
HTQ,MAXREG,MAXREG,ACTIVE,TYPE 1,HTQ,MAXREG,3
HTQ,DOUGLASVIEIRA,DOUGLASVIEIRA,INACTIVE,TYPE 1,HTQ,douglasvieira,1215
HTQ,AARONCAMPBELL,AARONCAMPBELL,INACTIVE,TYPE 1,HTQ,aaroncampbell,1257
HTQ,MARCIOPACHECO,MARCIOPACHECO,ACTIVE,TYPE 1,HTQ,marciopacheco,1271
HTQ,ALEXANDREBRANDAO,ALEXANDREBRANDAO,INACTIVE,TYPE 1,HTQ,alexandrebrandao,1277
HTQ,BRUNOPLOCK,BRUNOPLOCK,INACTIVE,TYPE 1,HTQ,brunoplock,1285
HTQ,NENADPALAVERSA,NENADPALAVERSA,INACTIVE,TYPE 1,HTQ,nenadpalaversa,1302
HTQ,GUSTAVOCOSTA,GUSTAVOCOSTA,ACTIVE,TYPE 1,HTQ,gustavocosta,1317
HTQ,JOSEMARIA,JOSEMARIA,ACTIVE,TYPE 1,HTQ,josemaria,1327
HTQ,RONALDCARDOSO,RONALDCARDOSO,ACTIVE,TYPE 1,HTQ,ronaldcardoso,1358
HTQ,PAULODASILVA,PAULODASILVA,ACTIVE,TYPE 1,HTQ,paulodasilva,1361
HTQ,BRUNOPASSANHA,BRUNOPASSANHA,DELETED,TYPE 1,HTQ,brunopessanha.,1396
HTQ,PAULOSMARTINS,PAULOSMARTINS,INACTIVE,TYPE 1,HTQ,paulosmartins,1469
HTQ,ROBSPIERREPARENTE,ROBSPIERREPARENTE,ACTIVE,TYPE 1,HTQ,robspierreparente,1473
HTQ,KARINYMIRANDA,KARINYMIRANDA,INACTIVE,TYPE 1,HTQ,karinymiranda,1481
HTQ,WALDENIRFIGUEIRA,WALDENIRFIGUEIRA,INACTIVE,TYPE 1,HTQ,waldenirfigueira,1511
HTQ,VANDERSONLOBO,VANDERSONLOBO,ACTIVE,TYPE 1,HTQ,vandersonlobo,1512
HTQ,WALLACEMELLO,WALLACEMELLO,INACTIVE,TYPE 1,HTQ,wallacemello,1518
HTQ,ANDERSONSOUZA,ANDERSONSOUZA,INACTIVE,TYPE 1,HTQ,andersonsouza,1574
HTQ,VINICIUSSILVA,VINICIUSSILVA,ACTIVE,TYPE 1,HTQ,viniciussilva,1590
