ENVIRONMENT,USERID,PERSONID,STATUS,TYPE,DEFSITE,LOGINID,MAXUSERID
BASE,(C) COPYRIGHT International Business Machines Corp. 1993,1996,,,,,
BASE,US Government Users Restricted Rights - Use,duplication or,,,,,
BASE,MAXADMIN,MAXADMIN,ACTIVE,TYPE 1,BASE-UNP,maxadmin,1
BASE,MXINTADM,MXINTADM,ACTIVE,TYPE 1,OP-BASE,mxintadm,2
BASE,MAXREG,MAXREG,ACTIVE,TYPE 1,OP-BASE,MAXREG,3
BASE,RAFAEL.BOECHAT,RAFAEL.BOECHAT,INACTIVE,TYPE 1,N09,rafael.boechat,9
BASE,JASONKOVARIK,JASONKOVARIK,INACTIVE,TYPE 1,ODN1,jasonkovarik,127
BASE,CLARISSERODRIGUES,CLARISSERODRIGUES,ACTIVE,TYPE 3,N09,clarisserodrigues,206
BASE,PALOMAFERREIRA,PALOMAFERREIRA,INACTIVE,TYPE 5,OP-BASE,palomaferreira,226
BASE,MARIONICOLI,MARIONICOLI,INACTIVE,TYPE 4,N06,marionicoli,393
BASE,THIJSVISSER,THIJSVISSER,INACTIVE,TYPE 1,OP-BASE,thijsvisser,394
BASE,VICTORBORBA,VICTORBORBA,ACTIVE,TYPE 4,N06,victorborba,395
BASE,MARIOVIEIRA,MARIOVIEIRA,INACTIVE,TYPE 1,ODN2,mariovieira,408
BASE,SAULOARCARO,SAULOARCARO,INACTIVE,TYPE 1,OP-BASE,sauloarcaro,411
BASE,LUIZMARTINEZ,LUIZMARTINEZ,INACTIVE,TYPE 1,OP-BASE,luizmartinez,430
BASE,CHRISTINECOSTA,CHRISTINECOSTA,INACTIVE,TYPE 1,OP-BASE,christinecosta,433
BASE,ENNESCARRUPT,ENNESCARRUPT,INACTIVE,TYPE 1,N08,ennescarrupt,441
BASE,HIAGOPACHECO,HIAGOPACHECO,INACTIVE,TYPE 2,N06,hiagopacheco,445
BASE,PABLOMORELATO,PABLOMORELATO,INACTIVE,TYPE 1,ODN1,pablomorelato,457
BASE,WILLIAMPINTO,WILLIAMPINTO,INACTIVE,TYPE 1,N09,williampinto,463
BASE,LEONCIOALVARENGA,LEONCIOALVARENGA,INACTIVE,TYPE 1,ODN1,leoncioalvarenga,465
BASE,ADHARALEAO,ADHARALEAO,INACTIVE,TYPE 1,OP-BASE,adharaleao,466
BASE,PHILIPPEGOETSCHEL,PHILIPPEGOETSCHEL,INACTIVE,TYPE 1,OP-BASE,philippegoetschel,473
BASE,CARLOSALBERTO,CARLOSALBERTO,ACTIVE,TYPE 5,ODN1,carlosalberto,474
BASE,PEDROVINICIUS,PEDROVINICIUS,INACTIVE,TYPE 4,N09,pedrovinicius,485
BASE,EMERSONALVARENGA,EMERSONALVARENGA,DELETED,TYPE 1,OP-BASE,emersonalvarenga,492
BASE,MAUROCUNHA,MAUROCUNHA,ACTIVE,TYPE 5,N09,maurocunha,498
BASE,SAVIOCAETANO,SAVIOCAETANO,INACTIVE,TYPE 1,ODN1,saviocaetano,499
BASE,BRUNOVIANA,BRUNOVIANA,INACTIVE,TYPE 1,OP-BASE,brunoviana,512
BASE,OOGMON,OOGMON,INACTIVE,TYPE 1,OP-BASE,oogmon,516
BASE,GABRIELAMARTINEZ,GABRIELAMARTINEZ,ACTIVE,TYPE 3,OP-BASE,gabrielamartinez,533
BASE,HELCIOYASSUO,HELCIOYASSUO,INACTIVE,TYPE 1,ODN3,helcioyassuo,535
BASE,ARIELOLIVEIRA,ARIELOLIVEIRA,INACTIVE,TYPE 1,N06,arieloliveira,537
BASE,FABRICIOPIEKALA,FABRICIOPIEKALA,INACTIVE,TYPE 2,N09,fabriciopiekala,543
BASE,MAZENEINAWASRA,MAZENEINAWASRA,INACTIVE,TYPE 1,N08,mazeneinawasra,545
BASE,DIEGOESTEFANI,DIEGOESTEFANI,INACTIVE,TYPE 4,N08,diegoestefani,546
BASE,LUIZBRITTO,LUIZBRITTO,INACTIVE,TYPE 1,N08,luizbritto,551
BASE,TESTE,TESTE,DELETED,TYPE 1,ODN1,teste,553
BASE,EUGENIOCAMPOS,EUGENIOCAMPOS,INACTIVE,TYPE 1,ODN1,eugeniocampos,555
BASE,RICARDODVA,RICARDODVA,INACTIVE,TYPE 1,N08,ricardodva,559
BASE,VALIDA_BASE,VALIDA_BASE,INACTIVE,TYPE 1,N06,valida_base,928
BASE,SULAMITAMUNIZ,SULAMITAMUNIZ,INACTIVE,TYPE 3,OP-BASE,sulamitamuniz,929
BASE,LETICIALACERDA,LETICIALACERDA,ACTIVE,TYPE 3,N06,leticialacerda,930
BASE,MATEUSLUIZ,MATEUSLUIZ,INACTIVE,TYPE 1,OP-BASE,mateusluiz,1419
BASE,PHILIPEPACHECO,PHILIPEPACHECO,INACTIVE,TYPE 1,N06,philipepacheco,1421
BASE,HIAGOSOUZA,HIAGOSOUZA,ACTIVE,TYPE 1,OP-BASE,hiagosouza,1422
BASE,PERLAFABIANO,PERLAFABIANO,INACTIVE,TYPE 1,OP-BASE,perlafabiano,1423
BASE,RAFAELSIMOES,RAFAELSIMOES,INACTIVE,TYPE 1,OP-BASE,rafaelsimoes,1424
BASE,ERICACARVALHO,ERICACARVALHO,ACTIVE,TYPE 1,OP-BASE,ericacarvalho,1427
BASE,LEONARDONASCIMENTO,LEONARDONASCIMENTO,INACTIVE,TYPE 4,N06,leonardonascimento,1429
BASE,CHRISTIANSOUZA,CHRISTIANSOUZA,INACTIVE,TYPE 1,OP-BASE,christiansouza,1432
BASE,MICHELSOUZA,MICHELSOUZA,INACTIVE,TYPE 4,OP-BASE,michelsouza,1436
BASE,EMANUELSANTOS,EMANUELSANTOS,INACTIVE,TYPE 2,OP-BASE,emanuelsantos,1437
BASE,BEATRIZ.ABREU,BEATRIZ.ABREU,INACTIVE,TYPE 2,BASE-UNP,beatriz.abreu,1438
BASE,WENDELCARVALHO,WENDELCARVALHO,INACTIVE,TYPE 5,N06,wendelcarvalho,1443
BASE,FABIANOSILVA,FABIANOSILVA,INACTIVE,TYPE 5,BASE-UNP,fabianosilva,1444
BASE,THIAGOMESSIAS,THIAGOMESSIAS,INACTIVE,TYPE 5,BASE-UNP,thiagomessias,1448
BASE,DANILODELIMA,DANILODELIMA,INACTIVE,TYPE 5,BASE-UNP,danilodelima,1449
BASE,JEFERSONWILLIAMS,JEFERSONWILLIAMS,INACTIVE,TYPE 5,BASE-UNP,jefersonwilliams,1450
BASE,SERGIOSAPUCAIA,SERGIOSAPUCAIA,INACTIVE,TYPE 1,N06,sergiosapucaia,1453
BASE,BRUNOMOALLEM,BRUNOMOALLEM,ACTIVE,TYPE 1,PGA,brunomoallem,1455
BASE,TIAGOHONORATO,TIAGOHONORATO,INACTIVE,TYPE 1,BASE-UNP,tiagohonorato,1456
BASE,JULIANAMANHAES,JULIANAMANHAES,INACTIVE,TYPE 1,OP-BASE,julianamanhaes,1457
BASE,RENATAPEREIRA,RENATAPEREIRA,ACTIVE,TYPE 1,OP-BASE,renatapereira,1458
BASE,CHADCOVERLY,CHADCOVERLY,INACTIVE,TYPE 1,N06,chadcoverly,1459
BASE,SIDNEISCHOTT,SIDNEISCHOTT,ACTIVE,TYPE 1,N08,sidneischott,1461
BASE,AARONCAMPBELL,AARONCAMPBELL,INACTIVE,TYPE 1,HTQ,aaroncampbell,1463
BASE,DOUGLASVIEIRA,DOUGLASVIEIRA,INACTIVE,TYPE 1,HTQ,douglasvieira,1464
BASE,RICARDOCASTRO,RICARDOCASTRO,INACTIVE,TYPE 1,HTQ,ricardocastro,1466
BASE,WLADMIRSILVA,WLADMIRSILVA,INACTIVE,TYPE 1,HTQ,wladmirsilva,1467
BASE,PAULOMARTINS,PAULOMARTINS,INACTIVE,TYPE 1,HTQ,paulomartins,1468
BASE,MARCIOPACHECO,MARCIOPACHECO,INACTIVE,TYPE 1,HTQ,marciopacheco,1469
BASE,FABIANAALVES,FABIANAALVES,INACTIVE,TYPE 1,HTQ,fabianaalves,1470
BASE,CARLOSASANTOS,CARLOSASANTOS,INACTIVE,TYPE 1,HTQ,carlosasantos,1471
BASE,ALESSANDROCORREA,ALESSANDROCORREA,INACTIVE,TYPE 1,HTQ,alessandrocorrea,1472
BASE,BRUNOPEDROSA,BRUNOPEDROSA,INACTIVE,TYPE 1,HTQ,brunopedrosa,1473
BASE,FERNANDABATISTA,FERNANDABATISTA,INACTIVE,TYPE 1,HTQ,fernandabatista,1474
BASE,ALEXSALDANHA,ALEXSALDANHA,INACTIVE,TYPE 1,HTQ,alexsaldanha,1475
BASE,YURISOUZA,YURISOUZA,INACTIVE,TYPE 1,HTQ,yurisouza,1476
BASE,JEFFERSONMORAIS,JEFFERSONMORAIS,ACTIVE,TYPE 1,PGC,jeffersonmorais,1477
BASE,LUCASVICENTE,LUCASVICENTE,INACTIVE,TYPE 1,POL,lucasvicente,1479
BASE,DAVIDARANTES,DAVIDARANTES,ACTIVE,TYPE 1,N09,davidarantes,1480
BASE,DARIUARRUDA,DARIUARRUDA,INACTIVE,TYPE 1,HTQ,dariuarruda,1481
BASE,MARCELOSENA,MARCELOSENA,ACTIVE,TYPE 1,N06,marcelosena,1486
BASE,GUSTAVOBATISTA,GUSTAVOBATISTA,ACTIVE,TYPE 1,BASE-UNP,gustavobatista,1487
BASE,ERNESTOJUNIOR,ERNESTOJUNIOR,INACTIVE,TYPE 1,HTQ,ernestojunior,1489
BASE,RAFAELMAIA,RAFAELMAIA,INACTIVE,TYPE 1,HTQ,rafaelmaia,1491
BASE,EDERREZENDE,EDERREZENDE,INACTIVE,TYPE 1,HTQ,ederrezende,1492
BASE,CLEVERSONALMEIDA,CLEVERSONALMEIDA,INACTIVE,TYPE 1,POL,cleversonalmeida,1493
BASE,BRUNOJOVINO,BRUNOJOVINO,INACTIVE,TYPE 1,HTQ,brunojovino,1494
BASE,MILENAKOCHEM,MILENAKOCHEM,INACTIVE,TYPE 1,BASE-UNP,milenakochem,1495
BASE,RENATA,RENATA,DELETED,TYPE 1,BASE-UNP,Renata,1496
BASE,SERGIO.COIMBRA,SERGIO.COIMBRA,INACTIVE,TYPE 1,N08,sergio.coimbra,45
BASE,RODRIGOROSA,RODRIGOROSA,INACTIVE,TYPE 1,ODN1,rodrigorosa,166
BASE,ALESSANDROPASINI,ALESSANDROPASINI,INACTIVE,TYPE 5,OP-BASE,alessandropasini,167
BASE,GILVICENTE,GILVICENTE,INACTIVE,TYPE 1,OP-BASE,gilvicente,168
BASE,CARLOSZAMORA,CARLOSZAMORA,INACTIVE,TYPE 1,OP-BASE,carloszamora,169
BASE,PAULOCMELLO,PAULOCMELLO,INACTIVE,TYPE 1,OP-BASE,paulocmello,247
BASE,HELPDESK,HELPDESK,ACTIVE,TYPE 4,OP-BASE,helpdesk,346
BASE,ROBSONOLIVEIRA,ROBSONOLIVEIRA,INACTIVE,TYPE 1,N06,robsonoliveira,348
BASE,CLAUDIOFARIAS,CLAUDIOFARIAS,ACTIVE,TYPE 3,OP-BASE,claudiofarias,455
BASE,FABIOFIGUEIRA,FABIOFIGUEIRA,ACTIVE,TYPE 2,ODN2,fabiofigueira,353
BASE,ANDREBARRANCO,ANDREBARRANCO,INACTIVE,TYPE 1,N06,andrebarranco,354
BASE,THALESMORAN,THALESMORAN,INACTIVE,TYPE 1,N09,thalesmoran,355
BASE,LOURENCOMORUCCI,LOURENCOMORUCCI,INACTIVE,TYPE 1,ODN2,lourencomorucci,356
BASE,CONSUELOCAMPELLO,CONSUELOCAMPELLO,INACTIVE,TYPE 4,N09,consuelocampello,357
BASE,DARIUSZWROBLEWSKI,DARIUSZWROBLEWSKI,ACTIVE,TYPE 1,PGC,dariuszwroblewski,359
BASE,LEONARDOGOMES,LEONARDOGOMES,INACTIVE,TYPE 1,ODN2,leonardogomes,360
BASE,DARRENCHILDS,DARRENCHILDS,INACTIVE,TYPE 1,ODN2,darrenchilds,361
BASE,LUCIOPEDROSO,LUCIOPEDROSO,INACTIVE,TYPE 1,OP-BASE,luciopedroso,362
BASE,MEILOMIEDEMA,MEILOMIEDEMA,INACTIVE,TYPE 1,OP-BASE,meilomiedema,363
BASE,FLAVIOFIALHO,FLAVIOFIALHO,ACTIVE,TYPE 3,N09,flaviofialho,364
BASE,IGORJACOMINI,IGORJACOMINI,INACTIVE,TYPE 1,OP-BASE,igorjacomini,365
BASE,EDSONMACEDO,EDSONMACEDO,INACTIVE,TYPE 1,OP-BASE,edsonmacedo,366
BASE,FABRIZIOSOBRINHO,FABRIZIOSOBRINHO,INACTIVE,TYPE 4,N06,fabriziosobrinho,367
BASE,CARLOSPEREIRA,CARLOSPEREIRA,INACTIVE,TYPE 1,OP-BASE,carlospereira,368
BASE,ALASDAIRKELMAN,ALASDAIRKELMAN,INACTIVE,TYPE 1,N08,alasdairkelman,369
BASE,JOSEPHLARSON,JOSEPHLARSON,INACTIVE,TYPE 1,ODN1,josephlarson,370
BASE,KENNETHYEO,KENNETHYEO,INACTIVE,TYPE 1,OP-BASE,kennethyeo,371
BASE,DARRENSMALLEY,DARRENSMALLEY,INACTIVE,TYPE 1,N08,darrensmalley,372
BASE,MARCELSCHOEHUYS,MARCELSCHOEHUYS,INACTIVE,TYPE 1,ODN2,marcelschoehuys,373
BASE,JOACHIMPEETERS,JOACHIMPEETERS,INACTIVE,TYPE 1,N06,joachimpeeters,374
BASE,JOHNRSLATER,JOHNRSLATER,INACTIVE,TYPE 1,N09,johnrslater,375
BASE,LAURENCEMASLANKA,LAURENCEMASLANKA,INACTIVE,TYPE 1,OP-BASE,laurencemaslanka,376
BASE,AUGUSTOBRITO,AUGUSTOBRITO,INACTIVE,TYPE 1,ODN2,augustobrito,377
BASE,MICHAELGROSIAK,MICHAELGROSIAK,INACTIVE,TYPE 1,OP-BASE,michaelgrosiak,378
BASE,LEANDROJACOMINI,LEANDROJACOMINI,INACTIVE,TYPE 1,N06,leandrojacomini,396
BASE,RENATOFREIRE,RENATOFREIRE,INACTIVE,TYPE 1,OP-BASE,renatofreire,437
BASE,CIDCOSTA,CIDCOSTA,INACTIVE,TYPE 1,N06,cidcosta,409
BASE,HULDAGOUVEIA,HULDAGOUVEIA,INACTIVE,TYPE 1,OP-BASE,huldagouveia,434
BASE,PHFREITAS,PHFREITAS,INACTIVE,TYPE 1,OP-BASE,phfreitas,438
BASE,WILLIAMSANTOS,WILLIAMSANTOS,INACTIVE,TYPE 1,OP-BASE,williamsantos,439
BASE,WILLIANCABRAL,WILLIANCABRAL,INACTIVE,TYPE 1,ODN1,williancabral,442
BASE,NEYDINIZ,NEYDINIZ,INACTIVE,TYPE 1,N09,neydiniz,468
BASE,SAMANTAKLEIN,SAMANTAKLEIN,INACTIVE,TYPE 1,OP-BASE,samantaklein,502
BASE,CAMILAFREITAS,CAMILAFREITAS,INACTIVE,TYPE 5,OP-BASE,camilafreitas,503
BASE,RAPHAELCORREA,RAPHAELCORREA,INACTIVE,TYPE 1,OP-BASE,raphaelcorrea,504
BASE,MARCOSMAUMESSO,MARCOSMAUMESSO,INACTIVE,TYPE 4,HTQ,marcosmaumesso,932
BASE,CATHERINE,CATHERINE,INACTIVE,TYPE 5,N09,catherine,933
BASE,DOGONCALVES,DOGONCALVES,INACTIVE,TYPE 5,HTQ,dogoncalves,934
BASE,SONIA_TESTE,SONIA_TESTE,INACTIVE,TYPE 1,OP-BASE,sonia_teste,935
BASE,ERIVANLIMA,ERIVANLIMA,ACTIVE,TYPE 3,OP-BASE,erivanlima,936
BASE,GERALDOJUNIOR,GERALDOJUNIOR,INACTIVE,TYPE 1,N06,geraldojunior,937
BASE,RODRIGOFIGUEIREDO,RODRIGOFIGUEIREDO,INACTIVE,TYPE 3,N08,rodrigofigueiredo,938
BASE,RODRIGOCHAMUSCA,RODRIGOCHAMUSCA,INACTIVE,TYPE 4,ODN2,rodrigochamusca,946
BASE,PATRICKSOUSA,PATRICKSOUSA,ACTIVE,TYPE 5,OP-BASE,patricksousa,952
BASE,DIEGORODRIGUES,DIEGORODRIGUES,INACTIVE,TYPE 1,N06,diegorodrigues,953
BASE,BRUNOMARINS,BRUNOMARINS,INACTIVE,TYPE 1,,brunomarins,962
BASE,CLEOMARCECCON,CLEOMARCECON,INACTIVE,TYPE 1,N09,cleomarceccon,978
BASE,CARLOSJUNIOR,CARLOSJUNIOR,ACTIVE,TYPE 5,OP-BASE,carlosjunior,979
BASE,EDILSONVIANA,EDILSONVIANA,ACTIVE,TYPE 4,OP-BASE,edilsonviana,989
BASE,THIAGOFROES,THIAGOFROES,INACTIVE,TYPE 1,N06,thiagofroes,999
BASE,MAYCONSILVA,MAYCONSILVA,INACTIVE,TYPE 4,,mayconsilva,1012
BASE,LUCIANOJUNIOR,LUCIANOJUNIOR,INACTIVE,TYPE 3,HTQ,lucianojunior,1029
BASE,IARLENKLEIN,IARLENKLEIN,INACTIVE,TYPE 1,OP-BASE,iarlenklein,1034
BASE,LUCASCARVALHO,LUCASCARVALHO,INACTIVE,TYPE 3,OP-BASE,lucascarvalho,1036
BASE,LUISCOSTA,LUISCOSTA,INACTIVE,TYPE 1,OP-BASE,luiscosta,1037
BASE,ROBERVALSALES,ROBERVALSALES,INACTIVE,TYPE 5,BASE-UNP,robervalsales,1038
BASE,VICTOROLIVEIRA,VICTOROLIVEIRA,INACTIVE,TYPE 5,BASE-UNP,victoroliveira,1039
BASE,ANTONIO SERGIO GON�ALVES FILHO,ANTONIO SERGIO GON�ALVES FILHO,INACTIVE,TYPE 1,OP-BASE,antonio sergio gon�alves filho,1040
BASE,LEANDROVENANCIO,LEANDROVENANCIO,INACTIVE,TYPE 5,OP-BASE,leandrovenancio,1041
BASE,BRUNOCOSTA,BRUNOCOSTA,INACTIVE,TYPE 1,POL,brunocosta,1053
BASE,ANTONIOFILHO,ANTONIOFILHO,INACTIVE,TYPE 5,OP-BASE,antoniofilho,1064
BASE,CESARCRUZ,CESARCRUZ,INACTIVE,TYPE 3,N08,cesarcruz,1066
BASE,WANDERLANSANTO,WANDERLANSANTO,INACTIVE,TYPE 4,ODN2,wanderlansanto,1067
BASE,VICTORIASILVA,VICTORIASILVA,INACTIVE,TYPE 4,N09,victoriasilva,1069
BASE,RENANCARVALHO,RENANCARVALHO,INACTIVE,TYPE 3,OP-BASE,renancarvalho,1070
BASE,FERNANDALEITE,FERNANDALEITE,INACTIVE,TYPE 5,OP-BASE,fernandaleite,1081
BASE,ADRIANOCALIXTO,ADRIANOCALIXTO,ACTIVE,TYPE 2,N06,adrianocalixto,1082
BASE,HIGORSOUSA,HIGORSOUSA,INACTIVE,TYPE 1,N06,higorsousa,1090
BASE,TIAGOSILVA,TIAGOSILVA,INACTIVE,TYPE 1,ODN2,tiagosilva,1091
BASE,COGNOS,COGNOS,INACTIVE,TYPE 5,OP-BASE,cognos,1103
BASE,GUILHERMEBARCELOS,GUILHERMEBARCELOS,INACTIVE,TYPE 4,BASE-UNP,guilhermebarcelos,1126
BASE,FABIANABENTO,FABIANABENTO,ACTIVE,TYPE 4,BASE-UNP,fabianabento,1127
BASE,LEANDRONSILVA,LEANDRONSILVA,INACTIVE,TYPE 4,BASE-UNP,leandronsilva,1128
BASE,JANAINAGOMES,JANAINAGOMES,INACTIVE,TYPE 1,OP-BASE,janainamoreira,1135
BASE,WILBERGONCALVES,WILBERGONCALVES,INACTIVE,TYPE 1,OP-BASE,wilbergoncalves,1176
BASE,RONALDO,RONALDO,DELETED,TYPE 1,OP-BASE,ronaldo,1192
BASE,EMIRANDA,EMIRANDA,INACTIVE,TYPE 4,OP-BASE,emiranda,1193
BASE,JOAONASCIMENTO,JOAONASCIMENTO,INACTIVE,TYPE 4,BASE-UNP,joaonascimento,1201
BASE,DCLICK,DCLICK,INACTIVE,TYPE 1,ODN2,dclick,1213
BASE,SINVALJUNIOR,SINVALJUNIOR,INACTIVE,TYPE 1,ODN2,sinvaljunior,1218
BASE,ANDRZEJNIEWINSKI,ANDRZEJNIEWINSKI,INACTIVE,TYPE 5,ODN1,andrzejniewinski,1223
BASE,EDWINVILLAGARAY,EDWINVILLAGARAY,ACTIVE,TYPE 3,HTQ,edwinvillagaray,1224
BASE,FELIPERAMOS,FELIPERAMOS,INACTIVE,TYPE 5,ODN1,feliperamos,1232
BASE,FABIOLANA,FABIOLANA,INACTIVE,TYPE 5,ODN1,fabiolana,1239
BASE,MAXPHELIPE,MAXPHELIPE,INACTIVE,TYPE 5,ODN1,maxphelipe,1243
BASE,GERMANMONDRAGON,GERMANMONDRAGON,INACTIVE,TYPE 5,ODN1,germanmondragon,1245
BASE,FIELDSUPPORT,FIELDSUPPORT,INACTIVE,TYPE 1,OP-BASE,fieldsupport,46
BASE,ASSETMANAGER,ASSETMANAGER,INACTIVE,TYPE 1,OP-BASE,assetmanager,66
BASE,ODN1ASSISTANTRIGMANAGER,ODN1ASSISTANTRIGMANAGER,INACTIVE,TYPE 1,ODN1,odn1assistantrigmanager,67
BASE,OPERATIONMANAGER,OPERATIONMANAGER,INACTIVE,TYPE 1,OP-BASE,operationmanager,68
BASE,ODN1RIGMANAGER,ODN1RIGMANAGER,INACTIVE,TYPE 1,ODN1,odn1rigmanager,47
BASE,ANDERSON CHAVES,ANDERSON CHAVES,DELETED,TYPE 1,,andersonchaves,86
BASE,MICHELDERYCK,MICHELDERYCK,INACTIVE,TYPE 1,N09,michelderyck,326
BASE,RICHARDVILCHEZ,RICHARDVILCHEZ,INACTIVE,TYPE 1,N09,richardvilchez,1780
BASE,VICTORAMARAL,VICTORAMARAL,INACTIVE,TYPE 1,ODN4,victoramaral,350
BASE,DOUGLASFILHO,DOUGLASFILHO,INACTIVE,TYPE 1,N08,douglasfilho,449
BASE,ANACAROLINA,ANACAROLINA,ACTIVE,TYPE 1,OP-BASE,anacarolina,1793
BASE,VANESSALESSA,VANESSALESSA,INACTIVE,TYPE 4,N06,vanessalessa,392
BASE,BASEREADONLY,BASEREADONLY,INACTIVE,TYPE 1,ODN3,basereadonly,397
BASE,VCARVALHO,VCARVALHO,INACTIVE,TYPE 3,ODN1,vcarvalho,399
BASE,GUILHERMEMARINHO,GUILHERMEMARINHO,INACTIVE,TYPE 1,N06,guilhermemarinho,1822
BASE,TATIANEOLIVEIRA,TATIANEOLIVEIRA,INACTIVE,TYPE 1,OP-BASE,tatianeoliveira,401
BASE,GORDONMACLAREN,GORDONMACLAREN,INACTIVE,TYPE 1,N06,gordonmaclaren,404
BASE,EDUARDONETO,EDUARDONETO,INACTIVE,TYPE 1,ODN2,eduardoneto,405
BASE,MARCELOAZEVEDO,MARCELOAZEVEDO,INACTIVE,TYPE 1,N06,marceloazevedo,412
BASE,CLERNARDGOES,CLERNARDGOES,INACTIVE,TYPE 1,OP-BASE,clernardgoes,440
BASE,SYLVIOTUDE,SYLVIOTUDE,INACTIVE,TYPE 1,ODN4,sylviotude,443
BASE,RENATAUEDA,RENATAUEDA,INACTIVE,TYPE 1,OP-BASE,renataueda,444
BASE,YAGOCASTRO,YAGOCASTRO,INACTIVE,TYPE 1,ODN3,yagocastro,450
BASE,RICARDOBASTOS,RICARDOBASTOS,INACTIVE,TYPE 2,OP-BASE,ricardobastos,451
BASE,PHILIPEGOETSCHEL,PHILIPEGOETSCHEL,INACTIVE,TYPE 1,OP-BASE,philipegoetschel,472
BASE,ADEMIRJUNIOR,ADEMIRJUNIOR,ACTIVE,TYPE 3,N09,ademirjunior,486
BASE,ANGELINOMOURA,ANGELINOMOURA,INACTIVE,TYPE 1,OP-BASE,angelinomoura,505
BASE,LUCIANOCAMARA,LUCIANOCAMARA,INACTIVE,TYPE 3,ODN1,lucianocamara,488
BASE,LUANCARD,LUANCARD,INACTIVE,TYPE 1,ODN2,luancard,489
BASE,WILLIAMDSANTOS,WILLIAMDSANTOS,INACTIVE,TYPE 1,ODN2,williamdsantos,490
BASE,RODRIGOMOTTA,RODRIGOMOTTA,INACTIVE,TYPE 1,OP-BASE,rodrigomotta,511
BASE,MARCOSNEVES,MARCOSNEVES,ACTIVE,TYPE 2,BASE-UNP,marcosneves,527
BASE,DIEGOOTAVIO,DIEGOOTAVIO,ACTIVE,TYPE 2,HTQ,diegootavio,556
BASE,STEPHENWENTWORTH,STEPHENWENTWORTH,INACTIVE,TYPE 1,N06,flfl,564
BASE,JORGEMIGUEL,JORGEMIGUEL,INACTIVE,TYPE 1,ODN1,jorgemiguel,572
BASE,RONALDLACERDA,RONALDLACERDA,INACTIVE,TYPE 4,ODN1,ronaldlacerda,573
BASE,TULIOFERREIRA,TULIOFERREIRA,INACTIVE,TYPE 1,ODN1,tulioferreira,580
BASE,BASE_COORD,BASE_COORD,INACTIVE,TYPE 1,N09,base_coord,665
BASE,BASE_DEPART,BASE_DEPART,INACTIVE,TYPE 1,N09,base_depart,666
BASE,BASE_MATE,BASE_MATE,INACTIVE,TYPE 1,N09,base_mate,667
BASE,LARISSABARBOSA,LARISSABARBOSA,INACTIVE,TYPE 1,ODN1,larissabarbosa,672
BASE,RODRIGOSOUZA,RODRIGOSOUZA,ACTIVE,TYPE 1,POL,rodrigosouza,1724
BASE,WILTONMARCELO,WILTONMARCELO,INACTIVE,TYPE 1,ODN1,wiltonmarcelo,1763
BASE,ROBERTAMARTINS,ROBERTAMARTINS,INACTIVE,TYPE 4,OP-BASE,robertamartins,1764
BASE,JOSECORTES,JOSECORTES,INACTIVE,TYPE 1,ODN3,josecortes,676
BASE,STAR,STAR,INACTIVE,TYPE 1,,star,186
BASE,GUILHERME.MOTA,GUILHERME.MOTA,NEWREG,TYPE 1,,guilherme.mota,1796
BASE,MICHELABIFADEL,MICHELABIFADEL,ACTIVE,TYPE 1,N06,michelabifadel,1818
BASE,GERMANOBASLER,GERMANOBASLER,INACTIVE,TYPE 1,N06,germanobasler,410
BASE,ROBERTOSILVA,ROBERTOSILVA,INACTIVE,TYPE 4,OP-BASE,robertosilva,447
BASE,JOAO.SANTOS,JOAO.SANTOS,INACTIVE,TYPE 1,ODN2,joao.santos,448
BASE,CLAUDIAREIS,CLAUDIAREIS,INACTIVE,TYPE 1,N09,claudiareis,475
BASE,DIMASBARROS,DIMASBARROS,INACTIVE,TYPE 1,OP-BASE,dimasbarros,476
BASE,NILTONCAMARGO,NILTONCAMARGO,INACTIVE,TYPE 1,ODN1,niltoncamargo,513
BASE,WCORREA,WCORREA,INACTIVE,TYPE 1,OP-BASE,wcorrea,526
BASE,MAZENELNAWASRA,MAZENELNAWASRA,ACTIVE,TYPE 1,PGC,mazenelnawasra,547
BASE,RENATOJACQUES,RENATOJACQUES,INACTIVE,TYPE 1,ODN4,renatojacques,554
BASE,RAFAELOLIVEIRA,RAFAELOLIVEIRA,INACTIVE,TYPE 1,ODN1,rafaeloliveira,558
BASE,JULINECAETANO,JULINECAETANO,INACTIVE,TYPE 1,N09,julinecaetano,565
BASE,ENIOSANTOS,ENIOSANTOS,INACTIVE,TYPE 1,ODN1,eniosantos,566
BASE,PAULO.OLIVEIRA,PAULO.OLIVEIRA,INACTIVE,TYPE 1,N09,PAULO.OLIVEIRA,567
BASE,MAYCONBELFORT,MAYCONBELFORT,INACTIVE,TYPE 1,OP-BASE,mayconbelfort,568
BASE,LUCASARAUJO,LUCASARAUJO,INACTIVE,TYPE 1,N09,lucasaraujo,571
BASE,VINICIUSSOUZA,VINICIUSSOUZA,ACTIVE,TYPE 3,ODN1,viniciussouza,574
BASE,IRAPOANCARVALHO,IRAPOANCARVALHO,INACTIVE,TYPE 1,OP-BASE,irapoancarvalho,576
BASE,ESDRASSELLOS,ESDRASSELLOS,INACTIVE,TYPE 1,N06,esdrassellos,581
BASE,EDVALDOCONCEICAO,EDVALDOCONCEICAO,INACTIVE,TYPE 1,ODN1,edvaldoconceicao,582
BASE,VICTORBRANDAO,VICTORBRANDAO,INACTIVE,TYPE 1,N06,victorbrandao,583
